place_id,latitude,longitude,search_area,Demand,Accessibility,Competition,Population,label,Demand_contribution,Accessibility_contribution,Competition_contribution,Population_contribution,feasibility_score,cluster,feasibility_label
BG_00721,27.67026279604691,85.34753320598405,Koteshwor,0.0705,0.3154,0.4958,0.2884,0,0.044720119217339094,0.03661859335239474,0.0580463261550724,0.09624582594386756,23.56308646686738,2,Low
BG_00722,27.67344011357904,85.35756841814988,Koteshwor,0.1439,0.3599,0.5503,0.1726,0,0.09127978943794463,0.04178513553432742,0.06908059464286956,0.057600657274311864,25.974617688945344,2,Low
BG_00723,27.68633948249048,85.35870733695148,Koteshwor,0.0964,0.3956,0.5381,0.2222,0,0.061149212660304805,0.045929979487023966,0.06661053821073883,0.07415333746438063,24.784306782244826,2,Low
BG_00724,27.68184775208281,85.3503071908263,Koteshwor,0.2388,0.4023,0.5162,0.2377,0,0.15147751020000816,0.04670786336610147,0.062176584451422164,0.07932605002377711,33.96880080413089,0,Moderate
BG_00725,27.690004566972444,85.34214760986197,Koteshwor,0.3388,0.4183,0.4571,0.4789,0,0.214910303416092,0.04856549651016716,0.05021098321052652,0.15982013191580505,47.35069150525907,1,High
BG_00726,27.692391129771973,85.34630130049585,Koteshwor,0.2882,0.3603,0.5082,0.5927,0,0.1828133100487536,0.041831576362929064,0.060556875315598724,0.19779785380350315,48.299961553078454,1,High
BG_00727,27.69130725038325,85.3545553677936,Koteshwor,0.0733,0.2975,0.5785,0.1733,0,0.046496237427389446,0.03454036627247126,0.07479006934664718,0.057834263647962035,21.366093669446993,2,Low
BG_00728,27.68323778409296,85.3588626731154,Koteshwor,0.0694,0.3677,0.5604,0.2741,0,0.04402235849196218,0.04269073169205944,0.07112547742684665,0.09147358145358565,24.931214906445394,2,Low
BG_00729,27.686047943144487,85.35696063022695,Koteshwor,0.0711,0.373,0.541,0.1949,0,0.0451007159766356,0.0433060726710312,0.06719768277247483,0.06504268889202423,22.064716031216587,2,Low
BG_00730,27.674688201928628,85.35526802099304,Koteshwor,0.1666,0.4283,0.5356,0.2788,0,0.10567903349799566,0.04972651722520821,0.06610437910579399,0.09304208139095103,31.45520112199489,0,Moderate
BG_00731,27.676886526985527,85.34413590180068,Koteshwor,0.2619,0.5459,0.4955,0.5253,0,0.16613048543292355,0.06338012083409097,0.05798558706247902,0.17530489725490164,46.28010905843952,1,High
BG_00732,27.670040942949164,85.34879789301915,Koteshwor,0.083,0.3049,0.5356,0.2609,0,0.052649218369349576,0.03539952160160164,0.06610437910579399,0.08706843269332541,24.122155177007066,2,Low
BG_00733,27.677449885846748,85.35550354640775,Koteshwor,0.0938,0.352,0.5696,0.2608,0,0.059499960036686624,0.04086792916944499,0.07298814293304359,0.08703506035423252,26.039109249340775,2,Low
BG_00734,27.69008267616626,85.35323070679473,Koteshwor,0.0604,0.283,0.5431,0.2215,0,0.038313407102514636,0.032856886235661735,0.06762285642062847,0.07391973109073047,21.271288084953532,2,Low
BG_00735,27.68351476357363,85.36120690068613,Koteshwor,0.062,0.3741,0.6196,0.242,0,0.039328331793971966,0.043433784949685715,0.08311132503194009,0.08076106060477098,24.663450238036873,2,Low
BG_00736,27.677675436000168,85.34133374535773,Koteshwor,0.2404,0.5281,0.4993,0.5135,0,0.15249243489146552,0.0613135039613179,0.05875494890199516,0.17136696124194173,44.39278489967203,0,Moderate
BG_00737,27.69187037698729,85.34246168173556,Koteshwor,0.346,0.3501,0.4661,0.5717,0,0.21947746452765,0.04064733523358719,0.05203315598832789,0.1907896625939982,50.29476183435633,1,High
BG_00738,27.69271308924827,85.36042083063346,Koteshwor,0.0435,0.3003,0.5459,0.0553,0,0.02759326504899646,0.03486545207268276,0.06818975461816668,0.018454903518362955,14.910337525820886,2,Low
BG_00739,27.690022587220103,85.35307179885979,Koteshwor,0.0645,0.2859,0.5392,0.2261,0,0.04091415162437407,0.03319358224302364,0.06683324821691454,0.07545485868900297,21.639584077331524,2,Low
BG_00740,27.693068261903985,85.34363337560414,Koteshwor,0.3249,0.3426,0.4919,0.5817,0,0.20609314515905636,0.039776569697306405,0.05725671795135848,0.19412689650328627,49.72533293110075,1,High
BG_00741,27.68427073692797,85.3521618735978,Koteshwor,0.1389,0.3024,0.5397,0.1679,0,0.08810814977714043,0.03510926642284138,0.06693448003790349,0.05603215733694648,24.618405357483176,2,Low
BG_00742,27.68584367042024,85.35725974562652,Koteshwor,0.0761,0.3851,0.54,0.2067,0,0.04827235563743979,0.04471090773623087,0.06699521913049689,0.06898062490498413,22.895910740915166,2,Low
BG_00743,27.678795407592457,85.35901565629261,Koteshwor,0.1163,0.3442,0.5921,0.2854,0,0.07377233851030549,0.039962333011712974,0.07754357487754701,0.09524465577108114,28.652290217064664,0,Moderate
BG_00744,27.68552178070769,85.34894859681003,Koteshwor,0.2578,0.3698,0.4714,0.2749,0,0.16352974091106406,0.04293454604221806,0.053106213290810916,0.09174056016632869,35.13110604104217,0,Moderate
BG_00745,27.68228570577492,85.36189350584766,Koteshwor,0.0465,0.3435,0.677,0.2145,0,0.029496248845478978,0.0398810615616601,0.09473273808147326,0.07158366735422882,23.569371584284116,2,Low
BG_00746,27.68099977387485,85.3622474831282,Koteshwor,0.0546,0.3244,0.601,0.1947,0,0.03463430509598177,0.037663511995931695,0.07934550129115059,0.06497594421383847,21.66192625969025,2,Low
BG_00747,27.692559490284545,85.3580741650216,Koteshwor,0.0585,0.2807,0.5945,0.0662,0,0.03710818403140904,0.032589851471202295,0.07802948761829405,0.022092488479486937,16.982001160039232,2,Low
BG_00748,27.673808135937865,85.34775382784491,Koteshwor,0.2105,0.3822,0.5059,0.4308,0,0.13352602971985644,0.04437421172886897,0.06009120893904949,0.1437680368121295,38.17594871999044,0,Moderate
BG_00749,27.67699018148388,85.34056951825482,Koteshwor,0.2189,0.5274,0.5214,0.4598,0,0.1388543843500075,0.06123223251126502,0.06322939538970739,0.15344601514906486,41.67620274000448,0,Moderate
BG_00750,27.675355291724586,85.34663300538784,Koteshwor,0.2687,0.509,0.4738,0.4417,0,0.17044391537161724,0.059095954395589484,0.05359212603155795,0.14740562177325348,43.05376175720181,0,Moderate
BG_00751,27.684922540212884,85.35251778980167,Koteshwor,0.1171,0.2892,0.5318,0.1613,0,0.07427980085603415,0.03357671907898719,0.06533501726627787,0.05382958295681636,22.702112015811558,2,Low
BG_00752,27.68731603025083,85.35175047212678,Koteshwor,0.0921,0.2882,0.5023,0.1911,0,0.0584216025520132,0.03346061700748309,0.059362339827928934,0.06377454000649477,21.501909939392,2,Low
BG_00753,27.68853317386635,85.36083084649833,Koteshwor,0.089,0.4045,0.5037,0.2035,0,0.0564551859623146,0.046963287923410514,0.05964578892669805,0.06791271005401196,23.097697286643516,2,Low
BG_00754,27.6749664707946,85.33808623182883,Koteshwor,0.1632,0.4716,0.5431,0.3045,0,0.10352231852864881,0.05475373692133596,0.06762285642062847,0.10161877253782134,32.751768440843456,0,Moderate
BG_00755,27.683209485639367,85.35190684931108,Koteshwor,0.1672,0.2873,0.5308,0.1669,0,0.10605963025729216,0.03335612514312939,0.06513255362429994,0.05569843394601767,26.024674297073915,2,Low
BG_00756,27.67434895077648,85.3447890941095,Koteshwor,0.1932,0.426,0.4756,0.4107,0,0.12255215649347395,0.049459482460748765,0.05395656058711823,0.1370601966544605,36.30283961958015,0,Moderate
BG_00757,27.68230303712714,85.36377879018502,Koteshwor,0.0342,0.3147,0.8602,0.1567,0,0.02169401527990067,0.03653732190234187,0.13182407729182993,0.05229445535854386,24.234986983261635,2,Low
BG_00758,27.67428190502909,85.34522861492634,Koteshwor,0.1914,0.4194,0.4765,0.4167,0,0.12141036621558443,0.048693208788821676,0.05413877786489836,0.13906253700003335,36.33048898693378,0,Moderate
BG_00759,27.68612981823393,85.36155266333111,Koteshwor,0.1011,0.4336,0.5101,0.2242,0,0.06413055394146075,0.05034185820417996,0.0609415562353568,0.07482078424623824,25.023475262723576,2,Low
BG_00760,27.67505084856072,85.35863794059811,Koteshwor,0.1422,0.3619,0.557,0.211,0,0.0902014319532712,0.042017339677335626,0.0704371010441217,0.070415635485978,27.307150816070653,2,Low
BG_00761,27.692645877311485,85.34055940401086,Koteshwor,0.3744,0.3767,0.4639,0.5204,0,0.23749237780101787,0.043735650335596385,0.05158773597597644,0.17366965263935047,50.64854167519412,1,High
BG_00762,27.683522986568093,85.35531336253689,Koteshwor,0.0569,0.3155,0.5105,0.2147,0,0.036093259339951694,0.03663020355954516,0.06102254169214796,0.07165041203241458,20.539641662405938,2,Low
BG_00763,27.682563168803288,85.33539078282047,Koteshwor,0.3447,0.4886,0.4956,0.5817,0,0.21865283821584092,0.05672747213690574,0.05800583342667681,0.19412689650328627,52.75130402827097,1,High
BG_00764,27.68251527272932,85.3522756811927,Koteshwor,0.1778,0.2755,0.5791,0.1772,0,0.11278350633819705,0.031986120699380956,0.07491154753183392,0.05913578487258437,27.88169594419963,0,Moderate
BG_00765,27.695687018335704,85.34917377691092,Koteshwor,0.2452,0.4544,0.523,0.5056,0,0.15553720896583753,0.052756781291465354,0.06355333721687209,0.1687305464536042,44.05778739277791,0,Moderate
BG_00766,27.68347968221613,85.34579078653914,Koteshwor,0.3339,0.4504,0.4784,0.4233,0,0.21180209654850388,0.052292373005448936,0.05452345878465642,0.14126511138016346,45.98830397187727,1,High
BG_00767,27.688666545888665,85.3530117220329,Koteshwor,0.0627,0.2713,0.5547,0.2045,0,0.03977236134648456,0.03149849199906371,0.06997143466757244,0.06824643344494076,20.948872145806146,2,Low
BG_00768,27.683640097794445,85.35088269892945,Koteshwor,0.1956,0.3124,0.5144,0.206,0,0.12407454353065994,0.036270287137882426,0.06181214989586188,0.06874701853133397,29.090399909573822,0,Moderate
BG_00769,27.687813827340847,85.35880890370676,Koteshwor,0.0917,0.412,0.5077,0.224,0,0.058167871379148875,0.04783405345969129,0.06045564349460977,0.07475403956805247,24.121160790150242,2,Low
BG_00770,27.67556943780553,85.34885091595598,Koteshwor,0.2822,0.4578,0.5078,0.3905,0,0.17900734245578856,0.053151528334579305,0.06047588985880756,0.13031898415769863,42.29537448068741,0,Moderate
BG_00771,27.679220534717164,85.35413208326054,Koteshwor,0.0897,0.3609,0.6039,0.2226,0,0.05689921551482719,0.041901237605831525,0.07993264585288659,0.07428682682075215,25.301992579429744,2,Low
BG_00772,27.69052893287588,85.3562384602948,Koteshwor,0.0563,0.2565,0.5989,0.116,0,0.0357126625806552,0.029780181340802958,0.07892032764299693,0.03871191334774146,18.312508491219656,2,Low
BG_00773,27.691641117283325,85.34757461898234,Koteshwor,0.2521,0.3403,0.5027,0.5838,0,0.15991407169774732,0.03950953493284696,0.05944332528472013,0.19482771562423676,45.369464753955114,1,High
BG_00774,27.694542963153403,85.3543431207741,Koteshwor,0.093,0.3891,0.5108,0.199,0,0.058992497690957955,0.04517531602224729,0.06108328078474135,0.06641095479483233,23.166204929277892,2,Low
BG_00775,27.685646381438893,85.3641338444183,Koteshwor,0.0501,0.3743,0.5239,0.1285,0,0.031779829401257995,0.043457005363986535,0.06373555449465222,0.04288345573435153,18.185584499424827,2,Low
BG_00776,27.6795890018676,85.3384571690738,Koteshwor,0.2158,0.5212,0.4989,0.5285,0,0.13688796776030887,0.06051239966793957,0.05867396344520399,0.1763728121058738,43.244714297932624,0,Moderate
BG_00777,27.6787702407358,85.3484084961728,Koteshwor,0.2909,0.4385,0.4917,0.3314,0,0.18452599546558784,0.05091075835455008,0.057216225222962894,0.1105959317538062,40.32489107969071,0,Moderate
BG_00778,27.67737744891921,85.3451426240453,Koteshwor,0.3106,0.5518,0.4933,0.5103,0,0.19702225572915635,0.06406512305596518,0.05754016705012758,0.17029904639096954,48.89265922262187,1,High
BG_00779,27.691564454412152,85.33879086605272,Koteshwor,0.4148,0.4918,0.4442,0.4585,0,0.2631192262603157,0.05709899876571888,0.04759920222901123,0.15301217474085743,52.082960199590325,1,High
BG_00780,27.681913088420284,85.34575905019652,Koteshwor,0.4117,0.4802,0.4914,0.4721,0,0.2611528096706171,0.05575221473627126,0.05715548613036951,0.15755081285748918,53.161132339474705,1,High
BG_00781,27.688238213047786,85.35798040027072,Koteshwor,0.0868,0.3567,0.5256,0.1936,0,0.05505966451156076,0.041413608905514286,0.0640797426860147,0.06460884848381679,22.516186458690655,2,Low
BG_00782,27.69426555400357,85.35818856513168,Koteshwor,0.0362,0.2509,0.5894,0.03,0,0.022962671144222346,0.029130009740379968,0.07699692304420662,0.010011701727864171,13.910130565667309,2,Low
BG_00783,27.67800561167545,85.3635666755531,Koteshwor,0.0857,0.3044,0.5463,0.1808,0,0.054361903786183836,0.03534147056584959,0.06827074007495784,0.06033718907992807,21.831130350691936,2,Low
BG_00784,27.6746811288375,85.35083445804773,Koteshwor,0.1954,0.4363,0.4997,0.3191,0,0.12394767794422779,0.05065533379724105,0.05883593435878632,0.1064911340453819,33.9930080145637,0,Moderate
BG_00785,27.67830070162196,85.36106385464998,Koteshwor,0.1111,0.3524,0.5412,0.2588,0,0.07047383326306914,0.04091436999804663,0.06723817550087041,0.08636761357237491,26.499399233436105,2,Low
BG_00786,27.67886240841945,85.35896830608009,Koteshwor,0.1128,0.3435,0.5937,0.2866,0,0.07155219074774255,0.0398810615616601,0.0778675167047117,0.09564512384019572,28.494589285431005,0,Moderate
BG_00787,27.68231072049869,85.35244784416022,Koteshwor,0.1754,0.2859,0.5804,0.1876,0,0.11126111930101101,0.03319358224302364,0.07517475026640524,0.06260650813824395,28.22359599486839,0,Moderate
BG_00788,27.6858389468436,85.3449608825993,Koteshwor,0.3823,0.4478,0.4192,0.4439,0,0.24250356846508847,0.05199050761953825,0.042537611179563,0.14813981323329686,48.51715004974866,1,High
BG_00789,27.683712435102724,85.36190992575754,Koteshwor,0.0553,0.3557,0.6117,0.2218,0,0.03507833464849436,0.04129750683401018,0.08151186226031444,0.0740198481080091,23.190755185082807,2,Low
BG_00790,27.68591120382483,85.35673573418987,Koteshwor,0.0656,0.3681,0.5354,0.1942,0,0.04161191234975099,0.04273717252066108,0.0660638863773984,0.06480908251837407,21.52220537661845,2,Low
BG_00791,27.69045804751492,85.3594822047149,Koteshwor,0.0773,0.3354,0.5245,0.1381,0,0.04903354915603279,0.03894063478247684,0.06385703267983897,0.046087200287268065,19.791841690561665,2,Low
BG_00792,27.6879421974394,85.35737411694305,Koteshwor,0.0836,0.3449,0.5405,0.1863,0,0.05302981512864608,0.04004360446176584,0.06709645095148585,0.062172667730036504,22.234253827193427,2,Low
BG_00793,27.69345870550429,85.34130627441408,Koteshwor,0.3397,0.3783,0.4858,0.5493,0,0.21548119855503675,0.043921413650002954,0.056021689735293104,0.18331425863719297,49.873856057752576,1,High
BG_00794,27.67159854782188,85.3460277200241,Koteshwor,0.1381,0.3833,0.4792,0.3189,0,0.08760068743141176,0.04450192400752347,0.05468542969823877,0.10642438936719614,29.32124305043702,0,Moderate
BG_00795,27.67416778436292,85.35283473572836,Koteshwor,0.1555,0.3936,0.5217,0.2882,0,0.09863799345101035,0.045697775344015756,0.06329013448230078,0.09617908126568181,30.38049845430087,0,Moderate
BG_00796,27.676805406774427,85.33881962971319,Koteshwor,0.178,0.5199,0.5362,0.4017,0,0.1129103719246292,0.060361466974984235,0.06622585729098075,0.13405668613610125,37.35543823266955,0,Moderate
BG_00797,27.68899505548682,85.35471201085731,Koteshwor,0.0608,0.2691,0.5862,0.1672,0,0.038567138275378963,0.03124306744175468,0.07634903938987725,0.05579855096329631,20.19577960703072,2,Low
BG_00798,27.67381289417285,85.35000208750114,Koteshwor,0.1852,0.4272,0.4984,0.3839,0,0.11747753303618724,0.0495988049465537,0.058572731624215016,0.12811640977756852,35.376547938452454,0,Moderate
BG_00799,27.68803821187833,85.34579347219321,Koteshwor,0.379,0.4017,0.4632,0.4778,0,0.24041028628895772,0.04663820212319901,0.0514460114265919,0.15945303618578338,49.7947536024532,1,High
BG_00800,27.684520998580084,85.36404592392867,Koteshwor,0.0433,0.3508,0.5608,0.1488,0,0.027466399462564295,0.04072860668364006,0.07120646288363781,0.049658040570206285,18.905950960004848,2,Low
BG_00801,27.695352658756303,85.34718346656467,Koteshwor,0.2648,0.454,0.5474,0.5745,0,0.16797003643618996,0.052710340462863714,0.06849345008113356,0.1917240880885989,48.08979150687861,1,High
BG_00802,27.69448922145333,85.34282490666313,Koteshwor,0.2708,0.3693,0.5111,0.5515,0,0.171776004029155,0.04287649500646601,0.06114401987733472,0.18404845009723633,45.9844969010192,1,High
BG_00803,27.69583697418423,85.34764983720267,Koteshwor,0.2625,0.4586,0.5471,0.5593,0,0.16651108219222005,0.05324440999178259,0.06843271098854019,0.18665149254648103,47.483969571902385,1,High
BG_00804,27.67112678414168,85.35582935149276,Koteshwor,0.0987,0.3014,0.5418,0.1654,0,0.06260816690427473,0.03499316435133727,0.06735965368605715,0.05519784885962446,22.015883380129363,2,Low
BG_00805,27.67687988409854,85.35054987524849,Koteshwor,0.2386,0.4237,0.5221,0.2681,0,0.151350644613576,0.049192447696289325,0.06337111993909195,0.08947124110801281,35.338545335697006,0,Moderate
BG_00806,27.67096209051796,85.34526152500688,Koteshwor,0.0983,0.3796,0.5065,0.274,0,0.0623544357314104,0.044072346342958285,0.06021268712423624,0.09144020911449277,25.80796783130977,2,Low
BG_00807,27.69125939746924,85.35726311576185,Koteshwor,0.0504,0.2577,0.5819,0.0949,0,0.03197012778090625,0.02991950382660788,0.07547844572937212,0.03167034979914366,16.90384271360299,2,Low
