place_id,latitude,longitude,search_area,Demand,Accessibility,Competition,Population,label
ChIJd5KfJgAZ6zkRGHMApNkEWw4,27.6966476,85.3354481,Baneshwor,0.2945,0.3808,0.4685,0.4832,1
ChIJM5tgfeQZ6zkRz90Fjju5iTA,27.6948811,85.340119,Baneshwor,0.3464,0.4097,0.4475,0.5115,1
ChIJcbIZc5IZ6zkRU6PUzMVt3u8,27.7024375,85.32818750000001,Baneshwor,0.2835,0.513,0.4979,0.6072,1
ChIJi7KCZTQZ6zkRVjEVGvl7pQA,27.7029421,85.3352675,Baneshwor,0.2698,0.4559,0.4975,0.6185,1
ChIJ8zicC3cZ6zkRNj6uCY331l4,27.6951398,85.337211,Baneshwor,0.3467,0.4048,0.4452,0.5075,1
ChIJ2-1vF7kZ6zkRu4EARcpsxeM,27.6995308,85.3370145,Baneshwor,0.2945,0.4359,0.4804,0.4795,1
ChIJqa7hxcgZ6zkR4Qf-dxqy8iI,27.6909073,85.3455319,Baneshwor,0.2943,0.3513,0.4755,0.5696,1
ChIJK3krIgAZ6zkRQYFA_LutE6M,27.687795,85.3416098,Baneshwor,0.3957,0.5024,0.445,0.407,1
ChIJRXsOCSUZ6zkRZEhcZFObr0M,27.6948482,85.33737599999999,Baneshwor,0.3475,0.4035,0.4483,0.5065,1
ChIJ-dFyKJAZ6zkRvxScJUX9OxM,27.6887907,85.3320652,Baneshwor,0.4371,0.5782,0.4204,0.464,1
ChIJjR3b3ZcZ6zkREg-POh-MZf8,27.6926267,85.33438459999999,Baneshwor,0.4203,0.4674,0.4267,0.4631,1
ChIJxUpPKgAZ6zkR2kuQSbNhGlc,27.6975983,85.3537532,Baneshwor,0.1161,0.3661,0.4965,0.1927,1
ChIJxTkRg94Z6zkRu4gcQeAt4qI,27.6947852,85.3401148,Baneshwor,0.3499,0.4096,0.449,0.5126,1
ChIJ76PTRpkZ6zkRuAaGVb5-_-M,27.6990763,85.33840339999999,Baneshwor,0.2819,0.3915,0.4761,0.4678,1
ChIJy9eRMYQZ6zkRENaKM59TGc0,27.6980811,85.3489345,Baneshwor,0.1928,0.4265,0.4994,0.436,1
ChIJ-xaVVwAZ6zkRcrXJgt8lwRQ,27.6809779,85.3443844,Baneshwor,0.3452,0.488,0.4962,0.5563,1
ChIJG-QCQvAZ6zkRFxMehz7NPSc,27.7010559,85.3411076,Baneshwor,0.2976,0.3986,0.4841,0.4811,1
ChIJAYkjOPcZ6zkRwAvq-YQK7PE,27.6955022,85.33346949999999,Baneshwor,0.3138,0.4069,0.466,0.5262,1
ChIJyTiJyLIZ6zkRBbkbTeabyBQ,27.7034721,85.3286349,Baneshwor,0.2648,0.555,0.5011,0.6343,1
ChIJ4_a9DAAZ6zkRlADcb7Vxxjg,27.7080804,85.3344413,Baneshwor,0.1167,0.3531,0.5045,0.3642,1
ChIJm-L6D44Z6zkRYQTZhavoHD8,27.6893999,85.3453112,Baneshwor,0.3764,0.4192,0.4603,0.524,1
ChIJ7cbsXQAZ6zkRtc2iri3X510,27.6844175,85.3249306,Baneshwor,0.2125,0.3567,0.5101,0.268,1
ChIJ0908hpUZ6zkR_iwra3jFUr4,27.6788874,85.3433775,Baneshwor,0.2893,0.5122,0.4917,0.5647,1
ChIJ5wpCn5sZ6zkRDqdL8LrYEBc,27.69889,85.3418059,Baneshwor,0.3029,0.4363,0.4821,0.4867,1
ChIJ379PZV8Z6zkRFe3eTFwgqag,27.6866585,85.3351039,Baneshwor,0.4353,0.6352,0.4256,0.4399,1
ChIJ4b9QBb4Z6zkRRKK6tEl9OGI,27.6866734,85.3351124,Baneshwor,0.437,0.6359,0.4285,0.4397,1
ChIJle1SdwAZ6zkR0Ty4ZmoT_Rs,27.7018615,85.3254694,Baneshwor,0.3071,0.4612,0.4926,0.5136,1
ChIJL21rS2EZ6zkRnhxjtuQwCQg,27.725261,85.3497719,Baneshwor,0.1524,0.3888,0.5143,0.335,1
ChIJkacmgxkZ6zkRg4E8Qy9QBbY,27.688198,85.3416038,Baneshwor,0.3822,0.493,0.444,0.4147,1
ChIJtbX0xOkZ6zkRfjgaUTNh-ds,27.6759432,85.3228781,Baneshwor,0.4214,0.3671,0.3665,0.4168,1
