bank_count_500m,bus_stop_count_500m,cinema_count_500m,clinic_count_500m,college_count_500m,hospital_count_500m,museum_count_500m,office_count_500m,parking_space_count_500m,recreation_count_500m,retail_count_500m,school_count_500m,temple_count_500m,competitor_count_500m,avg_restaurant_rating_500m,avg_review_ratings_500m,nearest_restaurant_m,place_id,latitude,longitude,search_area,restaurant_name,primary_type,searched_as
9,1,0,26,15,9,0,47,2,12,73,26,12,9,4.557142857142857,34.57142857142857,135.94235451703057,BG_00057,27.694001491738018,85.34576436717866,Baneshwor,,,
23,0,1,26,27,7,1,57,4,18,61,41,10,34,4.238235294117647,143.73529411764707,97.11015171532877,BG_00058,27.69622689756248,85.33657879771017,Baneshwor,,,
24,3,1,38,28,9,1,71,8,14,65,22,9,22,4.386363636363637,97.0,54.94832609832024,BG_00059,27.68993417819533,85.32877601529677,Baneshwor,,,
6,3,0,22,5,15,2,45,4,8,44,14,5,8,4.385714285714286,70.28571428571429,229.6961334124491,BG_00060,27.69393782877257,85.35142923376114,Baneshwor,,,
53,4,3,58,34,8,1,74,6,15,76,33,9,44,4.322727272727273,208.63636363636363,60.273410410051014,BG_00061,27.692082835404154,85.33437382989531,Baneshwor,,,
10,2,1,14,10,6,2,58,8,17,61,22,9,11,4.581818181818182,21.181818181818183,143.16280417267134,BG_00062,27.698378249730503,85.33102044840294,Baneshwor,,,
19,2,0,39,23,16,1,54,1,15,105,27,16,31,4.4206896551724135,161.89655172413794,116.38567673964798,BG_00063,27.690323459310623,85.34453624828076,Baneshwor,,,
18,3,0,7,9,3,1,40,11,6,38,5,6,13,4.546153846153846,54.46153846153846,212.09175740646097,BG_00064,27.694024254342803,85.32500719072137,Baneshwor,,,
20,0,0,29,18,9,0,49,5,10,48,24,16,8,4.025,135.125,190.06591778955936,BG_00065,27.701601640948596,85.34480541780201,Baneshwor,,,
8,2,0,28,9,12,1,42,3,14,47,21,14,10,4.355555555555556,76.22222222222223,66.77786293486831,BG_00066,27.698614267581846,85.34861887649235,Baneshwor,,,
27,1,0,41,20,13,0,65,5,17,67,18,16,23,4.321739130434784,101.30434782608695,123.91831575271561,BG_00067,27.70223364322437,85.34013608288159,Baneshwor,,,
5,3,0,24,6,17,2,55,3,11,54,14,8,9,4.3625,95.125,138.44328968556223,BG_00068,27.695476065345346,85.35099523028312,Baneshwor,,,
16,2,1,16,24,5,1,63,13,16,53,24,11,21,4.409523809523809,33.95238095238095,124.3137253669378,BG_00069,27.695488871956265,85.33140766202182,Baneshwor,,,
49,3,1,48,37,10,1,73,6,15,81,39,11,43,4.323255813953488,187.53488372093022,60.528860429922744,BG_00070,27.692415471704724,85.33588264259201,Baneshwor,,,
18,0,1,22,23,7,2,65,3,20,68,35,8,25,4.335999999999999,100.68,97.33582954087075,BG_00071,27.6973134195447,85.3348043619702,Baneshwor,,,
19,3,1,11,13,4,1,49,8,6,54,16,8,12,4.675,38.916666666666664,258.0971750409224,BG_00072,27.699341380385576,85.32595514285626,Baneshwor,,,
10,0,0,19,9,8,1,63,2,10,103,22,12,15,4.250000000000001,53.42857142857143,65.00920824370796,BG_00073,27.691747693792387,85.34741230345918,Baneshwor,,,
55,7,3,53,44,18,0,60,10,16,69,23,10,54,4.272222222222222,244.11111111111111,108.17770600304591,BG_00074,27.68852551081797,85.33753768297073,Baneshwor,,,
17,3,0,21,19,5,1,69,8,15,61,19,6,16,4.41875,34.4375,158.25518575810128,BG_00075,27.69140192610043,85.32700585687847,Baneshwor,,,
24,1,0,31,20,9,2,58,6,25,55,31,14,25,4.332,106.72,71.85425474464733,BG_00076,27.699103373740964,85.33602383518381,Baneshwor,,,
28,1,0,41,22,10,0,55,5,18,46,26,15,20,4.3950000000000005,103.3,227.93854251556627,BG_00077,27.702973034365066,85.33819334190032,Baneshwor,,,
19,4,0,22,16,11,3,61,2,14,73,30,11,11,4.463636363636364,59.63636363636363,235.59879243524003,BG_00078,27.70134492010704,85.33298754844098,Baneshwor,,,
24,2,0,41,25,17,1,51,2,16,101,27,16,33,4.441935483870967,152.19354838709677,108.49172836778136,BG_00079,27.690024788403246,85.34446441604071,Baneshwor,,,
17,3,0,16,14,5,1,57,8,11,56,11,6,13,4.353846153846154,62.53846153846154,152.88939969503565,BG_00080,27.69183378457293,85.32554502675555,Baneshwor,,,
37,6,1,41,39,13,0,61,10,17,64,21,10,39,4.2205128205128215,282.0769230769231,144.21120332543921,BG_00081,27.685822265376146,85.33706192354738,Baneshwor,,,
54,4,3,57,35,9,0,60,8,16,70,32,9,48,4.2875,192.125,66.15435477576666,BG_00082,27.691751372698832,85.33362297447415,Baneshwor,,,
21,2,0,23,12,9,1,45,7,18,53,18,14,8,4.5875,55.125,83.82441742983936,BG_00083,27.706546703481305,85.33263409032743,Baneshwor,,,
9,1,0,13,8,8,1,21,2,15,23,6,13,6,4.5,99.33333333333333,210.1119889120489,BG_00084,27.706852745364092,85.33797017869638,Baneshwor,,,
19,3,0,24,18,10,2,49,5,22,59,25,19,9,4.722222222222222,51.22222222222222,187.45033377109263,BG_00085,27.70406082814015,85.33162978842878,Baneshwor,,,
24,0,0,42,23,9,0,63,5,17,55,32,16,20,4.31,98.75,101.1393113732659,BG_00086,27.69979605007161,85.34168184849811,Baneshwor,,,
24,1,0,31,21,12,1,64,3,15,73,27,8,22,4.276190476190476,123.9047619047619,72.9365377575324,BG_00087,27.684622992698177,85.34806256361131,Baneshwor,,,
17,2,0,22,12,9,1,33,6,21,37,17,15,8,4.574999999999999,69.125,208.1054355350294,BG_00088,27.705611788345625,85.33441962501252,Baneshwor,,,
13,2,0,23,17,7,1,59,8,19,64,18,9,11,4.427272727272728,79.18181818181819,177.05512344761888,BG_00089,27.689497806136487,85.32551955728538,Baneshwor,,,
18,4,0,37,26,12,0,60,6,23,79,18,15,28,4.357142857142857,164.60714285714286,105.16534067005257,BG_00090,27.685231939205487,85.34016988776142,Baneshwor,,,
32,7,1,49,44,15,0,59,10,19,89,24,11,40,4.3,223.1,107.48134403819198,BG_00091,27.687076415422542,85.3391580773701,Baneshwor,,,
11,3,0,1,5,1,0,18,1,2,23,0,2,5,4.12,136.4,129.57628371602135,BG_00092,27.695699006011548,85.3230641041855,Baneshwor,,,
10,3,0,31,8,9,1,43,2,13,73,24,12,11,4.4399999999999995,62.0,176.8966084579635,BG_00093,27.69377867117095,85.34764516516647,Baneshwor,,,
22,1,0,40,23,12,1,71,4,16,109,28,10,28,4.4,105.25925925925925,70.93091002699138,BG_00094,27.68815273264142,85.34694017904496,Baneshwor,,,
46,7,2,61,52,20,0,62,9,19,85,26,14,50,4.338775510204082,244.71428571428572,136.41571742364425,BG_00095,27.688444895220204,85.3389598257451,Baneshwor,,,
11,0,0,12,12,8,0,29,1,6,24,10,8,5,4.3,238.0,133.72552330402488,BG_00096,27.705529965694762,85.34278124710153,Baneshwor,,,
12,1,0,22,17,7,1,60,4,20,64,16,9,9,4.433333333333334,87.22222222222223,169.7448297807804,BG_00097,27.689323614871448,85.32520225556608,Baneshwor,,,
5,0,0,17,8,9,0,38,5,13,37,20,14,8,4.3875,70.875,222.030085451392,BG_00098,27.700942426155912,85.34762086870518,Baneshwor,,,
40,3,2,54,37,10,1,87,11,14,77,33,9,34,4.279411764705882,190.8235294117647,101.46480531005903,BG_00099,27.686598022578604,85.33176488471565,Baneshwor,,,
8,0,0,15,7,7,1,49,2,10,83,22,9,13,4.158333333333334,63.166666666666664,225.92302942382514,BG_00100,27.691130082597084,85.34899798466786,Baneshwor,,,
19,3,0,13,15,4,1,49,10,10,54,6,7,14,4.435714285714286,50.642857142857146,86.49769337818435,BG_00101,27.692993723491846,85.32580789216887,Baneshwor,,,
