place_id,latitude,longitude,search_area,Demand,Accessibility,Competition,Population
BG_00145,27.684775708306937,85.3267066360182,Baneshwor,0.2527,0.385,0.5176,0.3189
BG_00146,27.701255885812795,85.33770020431017,Baneshwor,0.3063,0.4036,0.4902,0.4958
BG_00147,27.68974822840708,85.32754472115772,Baneshwor,0.2877,0.4878,0.5058,0.4462
BG_00148,27.69020538665104,85.3309451434031,Baneshwor,0.3535,0.548,0.4322,0.4972
BG_00149,27.683441025930623,85.34614557457681,Baneshwor,0.3471,0.4431,0.4846,0.4098
BG_00150,27.69419749447032,85.343544457581,Baneshwor,0.2797,0.352,0.4972,0.5545
BG_00151,27.691698911392017,85.33936356048898,Baneshwor,0.3883,0.4357,0.4454,0.4705
BG_00152,27.68779571929909,85.33012257533514,Baneshwor,0.3278,0.4526,0.458,0.4556
BG_00153,27.7055624859849,85.34510176223861,Baneshwor,0.1047,0.276,0.4891,0.2358
BG_00154,27.68133553842848,85.33963373573927,Baneshwor,0.2238,0.5459,0.4927,0.5772
BG_00155,27.706726138426887,85.33680191840587,Baneshwor,0.1244,0.3197,0.5349,0.3543
BG_00156,27.69658550006183,85.32682979116545,Baneshwor,0.1784,0.4368,0.5047,0.3002
BG_00157,27.68927477815149,85.33064481432646,Baneshwor,0.3531,0.5154,0.4167,0.4999
BG_00158,27.69297373269944,85.35069644219374,Baneshwor,0.1972,0.423,0.5799,0.4678
BG_00159,27.70227947092074,85.32927558448795,Baneshwor,0.2764,0.4759,0.4999,0.6447
BG_00160,27.68637197239777,85.34108816217424,Baneshwor,0.3578,0.5516,0.4425,0.3928
BG_00161,27.697718570511896,85.33537522118199,Baneshwor,0.2834,0.3539,0.4706,0.4988
BG_00162,27.682865457276787,85.34154745926195,Baneshwor,0.2942,0.537,0.4937,0.5015
BG_00163,27.689782605173768,85.33116090889317,Baneshwor,0.3578,0.5493,0.4271,0.4913
BG_00164,27.70680661886768,85.34027442862664,Baneshwor,0.1174,0.2841,0.4763,0.254
BG_00165,27.697300261535563,85.33092613383721,Baneshwor,0.2254,0.4068,0.5036,0.522
BG_00166,27.69825428551787,85.3351177604215,Baneshwor,0.276,0.3536,0.4923,0.5124
BG_00167,27.69992220517417,85.34951952820704,Baneshwor,0.135,0.3585,0.4917,0.3311
BG_00168,27.69501773630391,85.34321445947651,Baneshwor,0.2498,0.3618,0.5107,0.5358
BG_00169,27.698625824611977,85.33364014489612,Baneshwor,0.2601,0.3714,0.5009,0.5718
BG_00170,27.69535017204716,85.34905014597832,Baneshwor,0.2615,0.44,0.5356,0.5158
BG_00171,27.70496166010581,85.34441680317991,Baneshwor,0.1269,0.2908,0.5004,0.2909
BG_00172,27.68204454678972,85.33659924693791,Baneshwor,0.3145,0.5042,0.472,0.5651
BG_00173,27.70605960269866,85.33105556766614,Baneshwor,0.271,0.4676,0.5235,0.6045
BG_00174,27.68795471690049,85.34576419439524,Baneshwor,0.3802,0.4013,0.4388,0.4758
BG_00175,27.691047527984534,85.33262869225946,Baneshwor,0.3894,0.5459,0.4051,0.4733
BG_00176,27.695112309960923,85.33862395384037,Baneshwor,0.3359,0.4002,0.4537,0.5081
BG_00177,27.703891899368063,85.3430577803847,Baneshwor,0.2127,0.352,0.5076,0.3889
BG_00178,27.69367981840068,85.33208103866126,Baneshwor,0.3352,0.4678,0.4749,0.5076
BG_00179,27.693591766717464,85.34819370431303,Baneshwor,0.232,0.4101,0.5307,0.5763
BG_00180,27.69439548537204,85.35004236739579,Baneshwor,0.2286,0.4335,0.551,0.5033
BG_00181,27.69517094374644,85.34889328322907,Baneshwor,0.262,0.4397,0.5381,0.5204
BG_00182,27.69377857503475,85.34417440192217,Baneshwor,0.2796,0.3498,0.4828,0.5711
BG_00183,27.702259747306574,85.34624160216171,Baneshwor,0.166,0.3329,0.5798,0.396
BG_00184,27.687086950269546,85.34792938615611,Baneshwor,0.318,0.3814,0.4578,0.3778
BG_00185,27.69066234008636,85.34145263998231,Baneshwor,0.3221,0.3862,0.4335,0.4933
BG_00186,27.692823566323828,85.33218459586084,Baneshwor,0.3565,0.4845,0.4311,0.4801
BG_00187,27.68480237225878,85.32695510642729,Baneshwor,0.2579,0.3875,0.5236,0.3286
BG_00188,27.696372630353963,85.34527052455687,Baneshwor,0.2806,0.4025,0.5122,0.5297
BG_00189,27.688557180905523,85.32865321500856,Baneshwor,0.3056,0.4634,0.4897,0.4583
BG_00190,27.704506200914143,85.33378333765145,Baneshwor,0.2279,0.4526,0.524,0.6118
BG_00191,27.68253701133148,85.32987475784887,Baneshwor,0.3402,0.4371,0.5054,0.4139
BG_00192,27.695615802739187,85.35188653934674,Baneshwor,0.191,0.416,0.4946,0.3514
BG_00193,27.692728757587723,85.33542135521684,Baneshwor,0.3827,0.4224,0.4306,0.459
BG_00194,27.7039920357294,85.33855791689321,Baneshwor,0.2516,0.3786,0.5278,0.4835
BG_00195,27.698362273989872,85.33719932034421,Baneshwor,0.2975,0.381,0.461,0.4813
BG_00196,27.69065633730177,85.33305761889277,Baneshwor,0.3981,0.5647,0.3949,0.4619
BG_00197,27.6909554823127,85.32813124878298,Baneshwor,0.2859,0.5001,0.5124,0.4471
BG_00198,27.6845099734451,85.33236573557124,Baneshwor,0.404,0.457,0.4433,0.5476
BG_00199,27.68100979212097,85.33534842868882,Baneshwor,0.3177,0.4919,0.5088,0.5467
BG_00200,27.68885340570517,85.32500595697744,Baneshwor,0.2252,0.3797,0.5107,0.3723
BG_00201,27.69287310270906,85.35079690336191,Baneshwor,0.2004,0.4216,0.5765,0.4608
BG_00202,27.694816803956087,85.33559145690336,Baneshwor,0.3496,0.3896,0.4444,0.5231
BG_00203,27.69349066775041,85.33238346583985,Baneshwor,0.3539,0.4727,0.4657,0.5049
BG_00204,27.695089983081257,85.3511722810212,Baneshwor,0.2012,0.4313,0.5168,0.4157
BG_00205,27.68242548531557,85.3414263041646,Baneshwor,0.2765,0.531,0.4805,0.5204
BG_00206,27.693044823253743,85.33011715246852,Baneshwor,0.2701,0.4885,0.471,0.4383
BG_00207,27.69923846647535,85.32802062078467,Baneshwor,0.1985,0.417,0.4941,0.444
BG_00208,27.69994959473609,85.34712114609027,Baneshwor,0.1966,0.4204,0.5242,0.4546
BG_00209,27.70029004944839,85.32795013431529,Baneshwor,0.2296,0.4293,0.5035,0.5024
BG_00210,27.68598590214506,85.33348547000936,Baneshwor,0.4299,0.5468,0.4321,0.5117
BG_00211,27.70070533865648,85.34277624964459,Baneshwor,0.2676,0.421,0.4926,0.4899
BG_00212,27.70386693056841,85.34256761986,Baneshwor,0.2245,0.3621,0.4958,0.403
BG_00213,27.70599182043112,85.3416143704049,Baneshwor,0.1271,0.3047,0.4859,0.2929
BG_00214,27.68697405457744,85.34396648622038,Baneshwor,0.3893,0.4853,0.4295,0.4581
BG_00215,27.690519446438625,85.34389002904312,Baneshwor,0.3294,0.3486,0.4552,0.526
BG_00216,27.696009575173697,85.32444774131811,Baneshwor,0.0971,0.3883,0.5406,0.1403
BG_00217,27.68177708614165,85.33614198026766,Baneshwor,0.3247,0.4945,0.4847,0.5652
BG_00218,27.696331440210766,85.33449963904776,Baneshwor,0.3119,0.3581,0.4502,0.5049
BG_00219,27.69270566769511,85.32573970481327,Baneshwor,0.1963,0.4834,0.4959,0.3296
