place_id,latitude,longitude,primary_type,search_area,searched_as,bank_count_500m,bus_stop_count_500m,cinema_count_500m,clinic_count_500m,college_count_500m,hospital_count_500m,museum_count_500m,office_count_500m,parking_space_count_500m,recreation_count_500m,retail_count_500m,school_count_500m,temple_count_500m,competitor_count_500m,avg_restaurant_rating_500m,avg_review_ratings_500m,nearest_restaurant_m
ChIJ4R0tyfwY6zkRq4su-AaZBrI,27.716394800000003,85.3100936,bar,New Road,bar,53,7,2,33,21,8,17,68,16,68,79,34,34,91,4.564444444444445,312.43333333333334,19.175539722195385
ChIJ2Vig4_wY6zkR6PA939y0m8M,27.714814800000003,85.31072739999999,bar,New Road,bar,52,5,2,24,17,7,22,70,17,75,107,29,39,108,4.57196261682243,307.2710280373832,2.202690904169213
ChIJbcrwHAAZ6zkRrCC7OIZAoNU,27.6995079,85.31166859999999,bar,New Road,bar,57,4,3,24,3,9,1,63,17,22,94,12,32,36,4.221212121212122,95.03030303030305,14.889737245702351
ChIJxYtoGgAZ6zkRZlzbqTtyKBU,27.7015937,85.307969,bar,New Road,bar,71,0,2,39,3,10,10,62,18,17,85,22,79,61,4.168421052631579,166.91228070175438,32.537203479321654
ChIJ28h1UgAZ6zkRdYUusJrI9F8,27.6937346,85.31361220000001,bar,New Road,bar,21,6,1,30,5,10,4,42,4,21,52,4,11,2,4.55,4.0,454.4561002006593
ChIJWQyCVFIZ6zkRfqukDfuI0Ls,27.7108017,85.3109698,bar,New Road,bar,64,3,1,39,15,9,22,71,10,45,155,25,50,93,4.504347826086956,277.69565217391306,54.96390701107155
ChIJcRT8XgEZ6zkR7QiC-9hZL34,27.7064748,85.31639,bar,New Road,bar,63,8,2,30,32,18,4,71,12,16,114,36,33,35,4.357142857142857,207.37142857142857,107.95867920055886
ChIJo-gFUgEZ6zkRmXJSRXVxWYM,27.7103826,85.3185259,bar,New Road,bar,45,6,4,25,24,5,9,78,13,19,53,19,21,59,4.357627118644068,236.22033898305085,9.533234999076544
ChIJ0SIXPWQZ6zkRKDs5sku9teg,27.7168163,85.3040877,bar,New Road,bar,19,2,1,15,5,7,2,34,4,27,36,12,19,11,4.672727272727273,294.54545454545456,242.13339818568548
ChIJBwCXQgEZ6zkRxnWQZs0c1xo,27.7103041,85.31758219999999,bar,New Road,bar,46,7,3,28,22,6,9,80,13,23,75,24,23,60,4.340000000000001,237.1,17.118598615605364
ChIJX5Gp-0UZ6zkRL4SSP6E-xRI,27.686414700000004,85.3084868,restaurant,New Road,bar,4,0,0,15,9,1,1,65,2,15,62,21,10,19,4.431578947368421,242.94736842105263,165.60635359248178
ChIJIzUX_soZ6zkRkG0YMooiuuQ,27.7175607,85.3116731,restaurant,New Road,bar,46,6,3,31,23,9,13,66,15,54,59,33,36,84,4.557831325301206,301.6024096385542,34.63653504704726
ChIJ17_r8_YZ6zkRW6-7M9npovM,27.7054456,85.31854609999999,lounge_bar,New Road,bar,40,9,1,20,52,11,1,70,12,19,79,45,11,21,4.2,102.55,71.30176549417645
ChIJecCCLywZ6zkR3WzmVCPMV2c,27.7141875,85.3119375,bar,New Road,bar,47,3,1,23,20,8,22,68,17,70,91,19,32,111,4.54909090909091,299.76363636363635,39.27642222046341
ChIJl3lPbwQZ6zkRInR0MIEDQTg,27.7134535,85.3199302,restaurant,New Road,bar,28,4,3,7,6,2,10,50,8,17,41,9,15,45,4.304444444444445,254.57777777777775,90.09247012570356
ChIJnfeYEjEZ6zkRee9vDPJXNJk,27.6841431,85.3122587,bar,New Road,bar,4,0,0,20,7,2,2,50,1,11,33,12,8,28,4.389285714285714,186.57142857142856,36.63825162418433
ChIJ1zermfwY6zkRz_WFBNYjiHg,27.7152331,85.30896369999999,restaurant,New Road,bar,56,5,2,35,18,9,19,70,17,73,95,31,39,102,4.583168316831683,316.7722772277228,35.16683618444974
ChIJmdZh6PwY6zkRHKlZfE9hMGI,27.7151091,85.310413,bar,New Road,bar,49,5,2,28,19,7,21,72,17,76,115,30,38,107,4.573584905660377,302.4056603773585,0.0920923729061625
ChIJn1uQso0Z6zkRYyasz4QFhNE,27.7151098,85.3104135,bar,New Road,bar,49,5,2,28,19,7,21,72,17,76,115,30,38,107,4.576415094339622,313.2735849056604,0.0920923729061625
ChIJyTT-UUkZ6zkRAZD3dY0MCvQ,27.7299322,85.3257441,pub,New Road,bar,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.8,53.0,215.37043326419808
ChIJ90g_6AYZ6zkRPuXBpS6RuHA,27.7172858,85.3125237,bar,New Road,bar,47,6,3,24,21,8,13,57,14,51,54,31,36,83,4.539024390243903,303.0243902439024,63.1570114734928
ChIJqdMgm6AZ6zkRimqbv-3_Scg,27.7113597,85.31124009999999,bar,New Road,bar,61,2,2,36,15,8,22,69,12,52,125,26,51,101,4.506,269.1,29.693422424624703
ChIJqSwK0zUZ6zkRm1t0pFEFHyQ,27.7135612,85.3124723,bar,New Road,bar,49,2,1,23,15,7,21,66,18,64,82,19,23,111,4.560909090909092,300.0272727272727,5.096401650228391
ChIJGb53WvQZ6zkRS2HsiRGOutc,27.7143521,85.3101604,bar,New Road,bar,52,2,2,22,17,10,22,66,17,74,97,27,42,112,4.568468468468469,304.5855855855856,6.035054604301462
ChIJv3XRTC0Z6zkRRj7PZEZDbUk,27.7153795,85.3103064,pub,New Road,bar,48,5,2,29,21,8,20,71,18,75,111,31,38,106,4.567619047619048,316.3809523809524,30.610678204607705
ChIJ19VAsrgZ6zkR9rLPWhue-eQ,27.7089086,85.3153624,lounge_bar,New Road,bar,64,7,3,37,24,13,10,74,9,21,98,21,33,64,4.370312500000001,237.40625,4.610601209685225
ChIJm4X9-J8Z6zkRalvcfPVE0Rs,27.7153902,85.3123293,bar,New Road,bar,43,5,2,23,20,7,20,65,16,65,81,25,32,97,4.555208333333334,331.5520833333333,57.130870900485824
