bank_count_500m,bus_stop_count_500m,cinema_count_500m,clinic_count_500m,college_count_500m,hospital_count_500m,museum_count_500m,office_count_500m,parking_space_count_500m,recreation_count_500m,retail_count_500m,school_count_500m,temple_count_500m,competitor_count_500m,avg_restaurant_rating_500m,avg_review_ratings_500m,nearest_restaurant_m,place_id,latitude,longitude,search_area,primary_type,searched_as
51,3,2,22,18,6,22,67,17,76,99,27,39,112,4.569369369369369,302.44144144144144,9.093865504168267,ChIJo_tR_fwY6zkRRTC_kt9aAzo,27.7146352,85.3109793,New Road,western_restaurant,restaurant
44,6,4,22,14,5,10,66,10,26,60,14,18,61,4.403333333333333,264.3833333333333,5.517951635789097,ChIJT0ZgYXwZ6zkRyHWEWMKx1J0,27.7121854,85.3175564,New Road,japanese_restaurant,restaurant
70,4,4,29,3,12,4,66,21,23,119,11,40,53,4.214000000000001,120.7,46.91175590412285,ChIJSb4WwekZ6zkRyanICXGYa-8,27.7004989,85.31131649999999,New Road,halal_restaurant,restaurant
79,7,4,29,3,13,4,67,20,23,106,10,40,54,4.211764705882354,121.50980392156863,27.21839177805246,ChIJw11FQAAZ6zkRZBWKcxP9AdE,27.7010198,85.3116115,New Road,restaurant,restaurant
80,4,4,31,3,13,4,66,20,22,106,10,43,55,4.207692307692309,124.76923076923077,27.21839177805246,ChIJVzk28VQY6zkRWCWe3SGd5CA,27.701188400000003,85.31141079999999,New Road,korean_restaurant,restaurant
68,6,4,28,3,12,1,62,21,23,96,12,35,49,4.193478260869566,117.97826086956522,40.84907983128299,ChIJPWxHPwAZ6zkRvx5nCREsiAY,27.7003168,85.31174589999999,New Road,restaurant,restaurant
30,2,0,19,3,8,1,60,10,8,68,9,41,5,4.319999999999999,17.4,74.5335621444046,ChIJZTwdhFEY6zkR6xNYTTCrmKM,27.695647,85.30812890000001,New Road,family_restaurant,restaurant
41,6,4,21,12,5,10,57,10,18,57,14,18,58,4.389655172413794,253.25862068965517,21.086882385182097,ChIJ9zrhsgQZ6zkRfq9-jn-M2Nk,27.7122434,85.3180016,New Road,indian_restaurant,restaurant
30,8,0,10,47,10,1,63,8,19,80,38,6,12,4.363636363636364,21.545454545454547,176.42422408288266,ChIJzaGYVS8Z6zkRuIngp7yInN8,27.7032377,85.31818659999999,New Road,fast_food_restaurant,restaurant
89,2,2,45,3,21,11,73,20,19,102,19,91,61,4.2403508771929825,164.78947368421052,77.73367348067539,ChIJJ1Fva_0Y6zkRSVtptrQz7V0,27.7037579,85.3092563,New Road,restaurant,cafe
47,0,1,33,1,14,11,45,11,22,91,21,81,48,4.22,197.55555555555554,3.507691082338321,ChIJhTTmSRsZ6zkRIOeab9pfWLY,27.7038683,85.3061326,New Road,cafe,cafe
74,0,2,38,3,11,11,60,15,18,58,20,88,58,4.221818181818182,166.63636363636363,2.321297636815946,ChIJoemFZVYY6zkROXZA-hd4dVc,27.7028325,85.307552,New Road,cafe,cafe
66,6,3,38,18,12,18,69,11,37,110,22,43,77,4.4263157894736835,291.5263157894737,22.624781814612593,ChIJB0OmrrIZ6zkR0YHuxbds6dM,27.710011,85.3140416,New Road,cafe,cafe
56,0,1,35,1,14,11,47,14,22,88,21,88,54,4.221568627450981,179.07843137254903,52.09490172381098,ChIJtyHxEF0Z6zkRJBKGElwVZuk,27.7034683,85.306564,New Road,cafe,cafe
45,0,2,26,15,7,23,60,17,68,82,26,33,111,4.53909090909091,299.05454545454546,51.07173355373813,ChIJVaQh9pMZ6zkRH6-ZJvofHV8,27.7131089,85.3102534,New Road,restaurant,cafe
77,9,2,46,12,20,5,59,20,18,93,12,70,26,4.248,252.32,168.15910674882812,ChIJ4YXY9P8Y6zkRqAIWIDWrNfU,27.7054222,85.3127298,New Road,cafe,cafe
49,7,3,27,21,5,5,74,10,14,94,20,16,58,4.386206896551724,207.91379310344828,37.39164805594176,ChIJ51BdbwEZ6zkRYc9pq0fsvnQ,27.7102986,85.3170511,New Road,cafe,cafe
75,0,2,39,3,12,11,63,16,18,70,23,85,61,4.178947368421053,167.0,4.463985059613858,ChIJ3zVXMsYZ6zkRvDSf_vUq4gQ,27.7022638,85.30781809999999,New Road,restaurant,cafe
85,0,2,44,3,17,12,68,16,17,105,19,91,59,4.232142857142857,168.23214285714286,36.32364045903923,ChIJo0OADFYY6zkR9pvbdIF0zQA,27.703605,85.308432,New Road,restaurant,cafe
53,5,2,37,18,11,17,77,16,69,82,32,36,96,4.59157894736842,293.4421052631579,30.299557327194215,ChIJsy0a_KsZ6zkRwsiY89sTAE0,27.7154635,85.308459,New Road,restaurant,cafe
47,7,2,34,22,10,11,67,13,51,52,34,33,78,4.557142857142858,284.61038961038963,53.760301870939095,ChIJU7Ryf74Z6zkRyqOx5CCzfOU,27.7178748,85.31125759999999,New Road,,cafe
76,0,2,39,3,10,11,62,15,17,69,21,88,57,4.20925925925926,175.35185185185185,4.444566718272932,ChIJL2xWblYY6zkRbgFqm-fITic,27.703007,85.30765,New Road,cafe,cafe
43,6,4,24,17,5,10,73,11,19,51,18,20,58,4.358620689655172,238.24137931034483,30.028459707495866,ChIJ7Td-foEZ6zkRKcAWHW-I60w,27.711154,85.3187232,New Road,fast_food_restaurant,cafe
64,6,2,37,18,12,18,68,11,39,95,22,43,81,4.455,284.2375,22.624781814612593,ChIJ8Y1MSAAZ6zkRxqO0ZniJtpM,27.7100543,85.31381739999999,New Road,cafe,cafe
66,4,1,36,16,9,20,64,12,44,128,20,49,90,4.4932584269662925,277.438202247191,1.2329508921760957,ChIJ30UUJQAZ6zkRPh32E5_CdzA,27.7104963,85.31233350000001,New Road,food_store,cafe
12,3,0,33,14,9,2,71,1,20,57,16,16,18,4.327777777777778,118.83333333333333,16.650924314793436,ChIJP_ElzyYZ6zkRqIb4R3D5eeE,27.6872346,85.3141954,New Road,coffee_shop,cafe
40,4,0,15,57,9,1,83,8,14,95,54,13,21,4.41,49.1,96.36600751106936,ChIJA3B6ts8Z6zkRr7vNNzhvbCs,27.703916,85.32270129999999,New Road,halal_restaurant,cafe
14,4,0,20,8,8,3,16,1,11,14,1,4,2,4.05,404.5,304.1169038500768,ChIJRZHYG64Z6zkRgqZ8nIK1yL8,27.694336,85.3198122,New Road,fast_food_restaurant,cafe
88,2,2,44,3,18,12,72,19,19,94,19,91,63,4.196610169491525,168.8135593220339,74.4510100551755,ChIJD_Cg21UY6zkRQbalUFmXGDU,27.703113,85.3089461,New Road,cafe,cafe
0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,562.6828754818823,ChIJXdc0bCsZ6zkR6st_Dbv-sLA,27.7363502,85.3418117,New Road,cafe,cafe
0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,845.0437464371197,ChIJKV2VRQAZ6zkRUQ174SJ_8zE,27.7487787,85.33150359999999,New Road,cafe,cafe
45,5,4,20,50,7,5,78,14,24,55,48,24,20,4.247368421052631,94.26315789473684,63.026834710434784,ChIJ5fJOp_kZ6zkRe3yoSMqYjI0,27.7068098,85.3232866,New Road,restaurant,cafe
46,8,1,18,53,9,2,79,12,17,87,47,13,23,4.1909090909090905,97.81818181818181,71.31403039383167,ChIJ_-ZaUQcZ6zkRN59Bg16EvPE,27.7058008,85.31914909999999,New Road,fast_food_restaurant,cafe
18,1,0,45,13,8,4,21,12,18,63,16,3,118,4.42991452991453,219.7863247863248,33.99486801018466,ChIJ34OfmzUb6zkRqIBuqOnKTvw,27.7219368,85.3645191,New Road,cafe,cafe
46,0,1,36,0,12,12,42,8,20,110,23,81,49,4.2,193.7173913043478,112.26684974885725,ChIJncGGeAAZ6zkRKJfE8bW8XCw,27.7048545,85.3057603,New Road,bar,bar
91,2,2,41,4,21,12,69,20,21,112,15,83,61,4.222413793103448,153.43103448275863,29.333097706258503,ChIJLyqUmFUY6zkR4rGIUWQxRRc,27.7036341,85.3106112,New Road,restaurant,bar
76,0,2,39,3,13,11,63,16,18,72,23,85,61,4.159649122807018,167.2280701754386,5.0098713923497415,ChIJm7giKgAZ6zkRscb7ePprb4A,27.7022791,85.3078659,New Road,bar,bar
84,0,2,42,3,13,12,66,16,17,107,20,91,56,4.2075471698113205,178.77358490566039,36.32364045903923,ChIJ7_oJI5QZ6zkRvywNhQTU0MA,27.7036035,85.30806369999999,New Road,lounge_bar,bar
46,2,2,22,19,8,22,67,17,73,96,23,31,113,4.567857142857142,302.00892857142856,15.653119804797463,ChIJ94BwJ-0Z6zkRWkBgkdPj2Wo,27.7140921,85.3112041,New Road,bar,bar
76,0,2,39,3,11,11,62,15,17,59,20,86,58,4.210909090909091,172.27272727272728,12.113390071432912,ChIJgUr-WHgZ6zkR14LImARrkl8,27.7028303,85.30769719999999,New Road,lounge_bar,bar
46,1,2,20,18,9,22,60,17,73,95,25,34,112,4.556756756756757,303.4144144144144,20.83357397421593,ChIJg_zcSgAZ6zkR-32Aha-BxJk,27.7140803,85.31029930000001,New Road,bar,bar
75,0,2,39,3,10,11,61,15,17,58,20,87,58,4.218181818181818,173.45454545454547,2.321297636815946,ChIJK2Z2AUcZ6zkRPhnBBU_QSJA,27.7028234,85.3075732,New Road,bar,bar
48,2,2,22,18,8,22,68,17,70,95,23,30,114,4.560176991150442,301.46017699115043,1.1915646209058472,ChIJ37B9j-MZ6zkRWlS_chICW4I,27.7139056,85.31120659999999,New Road,bar,bar
48,6,2,29,21,6,17,69,18,73,92,33,33,99,4.580612244897959,330.3061224489796,32.04967298019015,ChIJXULqjZ4Z6zkRR35EFsOb4R0,27.715894,85.3104097,New Road,bar,bar
41,0,0,35,14,9,22,54,15,53,113,30,43,92,4.522826086956521,290.64130434782606,2.282415017575345,ChIJeY9Ik2gZ6zkRVAYBRhlYL4Y,27.7116062,85.308982,New Road,pub,bar
45,7,3,27,20,6,9,72,14,21,76,24,26,60,4.37,222.93333333333334,18.644713069054774,ChIJRYPNfHsZ6zkRp1Hf_pW2mVA,27.710634100000004,85.31728509999999,New Road,restaurant,bar
53,6,2,33,21,7,17,69,18,72,82,33,35,93,4.561956521739131,295.35869565217394,33.09945811746504,ChIJhVJq6-IY6zkRAcY456Xoiso,27.7162317,85.3098124,New Road,bar_and_grill,bar
12,0,0,14,4,7,0,34,4,21,32,18,22,4,4.65,21.5,375.1114746649556,ChIJzS3uP20Z6zkRak192DDvUSc,27.7136325,85.30279519999999,New Road,bar,bar
52,4,2,25,18,9,22,72,17,75,112,28,40,107,4.575471698113207,305.1698113207547,25.221684082282955,ChIJ9T0g7_wY6zkR0C8_nPgzUXA,27.7148006,85.3102287,New Road,bar,bar
48,3,1,22,17,8,22,68,15,63,86,19,32,110,4.558715596330275,296.39449541284404,2.4697935740567503,ChIJSwLMdP0Y6zkR03D8Epss23Y,27.7141474,85.3123432,New Road,bar_and_grill,bar
55,3,3,32,12,7,21,65,13,56,102,19,27,116,4.527826086956522,316.4,32.92779830450581,ChIJo-_CCgAZ6zkRJdunsOwm5hg,27.7126671,85.3128315,New Road,restaurant,bar
54,6,2,35,19,8,17,69,17,72,90,33,33,99,4.576530612244898,310.31632653061223,14.569014020357521,ChIJFTqku_wY6zkRDvO59zmBOvg,27.7157756,85.3092832,New Road,bar,bar
50,7,2,35,20,8,17,68,16,66,74,34,31,90,4.558426966292135,313.46067415730334,63.66222400125154,ChIJi6nVRS4Z6zkRLg-fa3wFNoI,27.7167072,85.3106354,New Road,bar,bar
61,3,2,36,16,8,21,68,13,51,121,24,44,102,4.504950495049505,264.6732673267327,26.80584951235282,ChIJmbyL3P0Y6zkRIohNN4P_R2Q,27.7115757,85.3119984,New Road,bar,bar
52,4,2,22,18,6,22,69,17,76,102,29,39,112,4.57027027027027,304.3783783783784,3.5522170610773647,ChIJyT725PwY6zkRQxOaNWBwzRQ,27.714684100000003,85.3108649,New Road,bar_and_grill,bar
54,7,2,33,22,8,17,68,16,69,79,34,34,91,4.564444444444445,312.43333333333334,19.143470754559992,ChIJ4R0tyfwY6zkRq4su-AaZBrI,27.716394800000003,85.3100936,New Road,bar,bar
52,5,2,24,19,7,22,71,17,75,107,30,39,108,4.5719626168224305,307.2710280373832,2.196521014508876,ChIJ2Vig4_wY6zkR6PA939y0m8M,27.714814800000003,85.31072739999999,New Road,bar,bar
59,4,3,24,3,9,1,64,17,22,95,12,32,36,4.221212121212122,95.03030303030303,14.897166546980829,ChIJbcrwHAAZ6zkRrCC7OIZAoNU,27.6995079,85.31166859999999,New Road,bar,bar
70,0,2,39,3,10,10,62,18,17,85,23,79,62,4.1706896551724135,164.44827586206895,32.42796828593121,ChIJxYtoGgAZ6zkRZlzbqTtyKBU,27.7015937,85.307969,New Road,bar,bar
21,6,1,30,5,10,4,42,4,22,51,4,11,2,4.55,4.0,452.910949416417,ChIJ28h1UgAZ6zkRdYUusJrI9F8,27.6937346,85.31361220000001,New Road,bar,bar
64,3,1,39,15,9,22,71,10,45,155,25,50,93,4.504347826086957,277.69565217391306,54.77285099389857,ChIJWQyCVFIZ6zkRfqukDfuI0Ls,27.7108017,85.3109698,New Road,bar,bar
63,8,2,30,32,18,4,71,12,16,114,36,33,35,4.357142857142857,207.37142857142857,107.9223989843997,ChIJcRT8XgEZ6zkR7QiC-9hZL34,27.7064748,85.31639,New Road,bar,bar
45,6,4,25,24,5,9,79,13,19,53,19,21,59,4.357627118644067,236.22033898305085,9.54645573044945,ChIJo-gFUgEZ6zkRmXJSRXVxWYM,27.7103826,85.3185259,New Road,bar,bar
19,2,1,15,5,7,1,34,4,27,36,12,19,11,4.672727272727273,294.54545454545456,242.339469741631,ChIJ0SIXPWQZ6zkRKDs5sku9teg,27.7168163,85.3040877,New Road,bar,bar
46,7,3,28,23,6,9,80,13,23,76,24,23,60,4.34,237.1,17.07056482823511,ChIJBwCXQgEZ6zkRxnWQZs0c1xo,27.7103041,85.31758219999999,New Road,bar,bar
4,0,0,15,9,1,1,65,2,15,62,21,10,19,4.431578947368421,242.94736842105263,165.57043341260726,ChIJX5Gp-0UZ6zkRL4SSP6E-xRI,27.686414700000004,85.3084868,New Road,restaurant,bar
46,6,3,31,23,9,13,67,15,54,59,33,36,84,4.557831325301205,301.6024096385542,34.580952041823714,ChIJIzUX_soZ6zkRkG0YMooiuuQ,27.7175607,85.3116731,New Road,restaurant,bar
40,9,1,20,52,11,1,71,12,19,79,45,11,22,4.223809523809523,98.0952380952381,71.31403039383167,ChIJ17_r8_YZ6zkRW6-7M9npovM,27.7054456,85.31854609999999,New Road,lounge_bar,bar
47,3,1,23,20,8,22,69,17,70,91,19,32,111,4.54909090909091,299.76363636363635,39.336028800306764,ChIJecCCLywZ6zkR3WzmVCPMV2c,27.7141875,85.3119375,New Road,bar,bar
28,4,3,7,6,2,10,50,8,17,41,9,15,45,4.304444444444444,254.57777777777778,90.25043968763744,ChIJl3lPbwQZ6zkRInR0MIEDQTg,27.7134535,85.3199302,New Road,restaurant,bar
4,0,0,20,7,2,2,50,1,11,32,12,8,27,4.396296296296296,152.88888888888889,36.534823564684814,ChIJnfeYEjEZ6zkRee9vDPJXNJk,27.6841431,85.3122587,New Road,bar,bar
57,5,2,35,18,9,19,70,17,73,95,31,39,102,4.583168316831683,316.7722772277228,35.22191690089397,ChIJ1zermfwY6zkRz_WFBNYjiHg,27.7152331,85.30896369999999,New Road,restaurant,bar
49,5,2,28,19,7,21,72,17,76,115,30,38,107,4.573584905660377,302.4056603773585,0.09191104620191293,ChIJmdZh6PwY6zkRHKlZfE9hMGI,27.7151091,85.310413,New Road,bar,bar
49,5,2,28,19,7,21,72,18,76,115,30,38,107,4.576415094339622,313.27358490566036,0.09191104620191293,ChIJn1uQso0Z6zkRYyasz4QFhNE,27.7151098,85.3104135,New Road,bar,bar
0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.8,53.0,214.82713771958424,ChIJyTT-UUkZ6zkRAZD3dY0MCvQ,27.7299322,85.3257441,New Road,pub,bar
47,6,3,24,21,8,13,57,14,51,54,31,36,83,4.539024390243903,303.0243902439024,63.26928157684376,ChIJ90g_6AYZ6zkRPuXBpS6RuHA,27.7172858,85.3125237,New Road,bar,bar
61,2,2,36,15,8,22,69,12,52,125,26,51,101,4.505999999999999,269.1,29.626048392936035,ChIJqdMgm6AZ6zkRimqbv-3_Scg,27.7113597,85.31124009999999,New Road,bar,bar
49,2,1,23,15,7,21,66,18,64,82,19,23,112,4.554954954954954,303.9549549549549,5.079191015207455,ChIJqSwK0zUZ6zkRm1t0pFEFHyQ,27.7135612,85.3124723,New Road,bar,bar
53,2,2,22,17,10,22,66,17,75,98,27,42,112,4.568468468468468,304.5855855855856,6.026112767463857,ChIJGb53WvQZ6zkRS2HsiRGOutc,27.7143521,85.3101604,New Road,bar,bar
48,5,2,29,21,8,20,71,18,75,111,31,38,106,4.567619047619047,316.3809523809524,30.551863512786266,ChIJv3XRTC0Z6zkRRj7PZEZDbUk,27.7153795,85.3103064,New Road,pub,bar
65,7,3,37,24,13,10,74,9,21,98,21,33,64,4.370312500000001,237.40625,4.614372366076142,ChIJ19VAsrgZ6zkR9rLPWhue-eQ,27.7089086,85.3153624,New Road,lounge_bar,bar
43,5,2,23,20,7,20,65,16,65,81,25,32,97,4.555208333333333,331.5520833333333,57.09571383207872,ChIJm4X9-J8Z6zkRalvcfPVE0Rs,27.7153902,85.3123293,New Road,bar,bar
49,2,1,23,15,7,21,66,18,64,82,19,24,111,4.556363636363637,300.0,5.079191015207455,ChIJoVvV6SwZ6zkROORAdAg8rbc,27.7136066,85.31247940000002,New Road,bar,bar
67,7,1,39,21,20,10,68,8,21,83,21,53,42,4.440476190476191,224.8095238095238,136.01070958811798,ChIJkQ7S1AEZ6zkRU-pwJyxyBH4,27.7080678,85.3138255,New Road,family_restaurant,bar
53,7,3,28,24,9,7,73,9,17,109,20,25,59,4.410169491525425,228.45762711864407,98.92195248722888,ChIJZ0H-CgEZ6zkR-fFqVikMUaM,27.7095047,85.31627850000001,New Road,,bar
42,6,2,21,19,7,15,53,14,55,50,25,34,87,4.547674418604651,322.5581395348837,107.1708832609763,ChIJ93fS7kkZ6zkRIqSzgvSEeVg,27.7165153,85.31318060000001,New Road,pub,bar
62,3,2,36,16,8,21,64,13,49,124,21,45,104,4.51747572815534,275.18446601941747,26.80584951235282,ChIJiyg2XtQZ6zkR351QBGTls0g,27.7114751,85.3122456,New Road,bar,bar
46,0,2,21,14,7,23,62,17,74,91,24,32,112,4.545945945945945,304.18918918918916,11.999624727843495,ChIJAfzC2cgZ6zkR6eCyNOpfxfo,27.7136713,85.3103007,New Road,bar,bar
60,4,3,24,3,8,1,62,17,24,98,12,35,37,4.3657142857142865,91.14285714285714,14.897166546980829,ChIJ8QJQvCwZ6zkReC-fmF-WLRE,27.6994416,85.31153719999999,New Road,bar,bar
50,2,2,21,17,9,22,62,17,75,96,24,39,113,4.5580357142857135,302.375,19.53980526569192,ChIJtZl1CJcZ6zkRVnzxlbb4RuM,27.7142825,85.31049420000001,New Road,bar,bar
84,4,3,35,4,20,9,65,22,23,80,12,63,55,4.178846153846154,187.65384615384616,53.08393230614498,ChIJg5LmPgAZ6zkRXqfD0_UXKZo,27.7028809,85.3115273,New Road,bakery,bakery
47,0,0,33,2,10,10,41,7,18,92,23,75,46,4.179545454545455,119.5,123.35836145065981,ChIJe39aEFcY6zkRD6H1Yn4PtzU,27.7012121,85.3051354,New Road,bakery,bakery
36,0,0,33,9,11,13,45,6,35,106,26,60,37,4.556756756756758,319.3243243243243,174.04011844061733,ChIJxaBGlYkZ6zkRYIPTSRrqI_8,27.7097295,85.30797629999999,New Road,bakery,bakery
50,1,1,23,13,8,22,68,19,64,87,24,25,113,4.54375,300.9642857142857,18.876933726204374,ChIJW5SXy-UZ6zkRtDWIDadFRJ8,27.7132693,85.312231,New Road,bakery,bakery
95,0,1,49,5,23,13,68,16,16,150,19,96,57,4.205454545454546,179.6727272727273,70.07039607003823,ChIJ6-OmRP8Y6zkRVbXs08dD96Y,27.7058903,85.3095037,New Road,bakery,bakery
73,0,2,38,3,12,10,64,18,17,89,22,82,62,4.18135593220339,161.91525423728814,32.95373595473721,ChIJ2dHZZAAZ6zkRWf2Njwq5tG0,27.701887,85.308078,New Road,bakery,bakery
43,2,3,26,3,11,0,60,15,17,68,11,33,25,4.160869565217391,31.0,211.4803510964762,ChIJxy_9gPcZ6zkRCIWPT70UcBY,27.6975551,85.3092068,New Road,bakery,bakery
35,1,1,27,11,8,0,36,1,12,69,28,20,6,4.783333333333333,51.0,41.16277343520175,ChIJBYsij-0Z6zkR2qMRvGDcP1M,27.7014226,85.29911539999999,New Road,bakery,bakery
43,5,1,35,16,10,11,68,15,50,70,31,31,77,4.588311688311689,276.90909090909093,51.94531740312099,ChIJZ-e_PFYZ6zkR528f8RiWrjA,27.7158704,85.3074039,New Road,bakery,bakery
50,1,1,29,2,11,4,66,14,17,79,18,57,45,4.209523809523809,88.54761904761905,160.3996541412685,ChIJzf8bY-wZ6zkRKE8xOLXp1w8,27.6990784,85.3070784,New Road,bakery,bakery
36,0,0,32,12,11,17,50,10,46,111,28,40,70,4.532857142857143,304.2857142857143,58.299756177680884,ChIJQ35mZgAZ6zkRN25xMO2x9Fo,27.7113001,85.307964,New Road,bakery,bakery
6,0,0,19,7,3,2,49,0,10,34,15,8,29,4.3758620689655165,168.75862068965517,11.634212215296188,ChIJ_2Bkim4Z6zkRHcpE2KMunp8,27.6838348,85.3121274,New Road,bakery,bakery
74,0,3,38,3,10,10,66,21,17,100,16,84,62,4.167241379310345,164.6551724137931,14.578969560827742,ChIJYXsJbgAZ6zkRv4zFEsVZZlQ,27.7018911,85.3084215,New Road,bakery,bakery
52,1,1,28,11,7,0,41,1,11,49,26,16,8,4.5875,85.125,178.80578036957627,ChIJiyV3QlIZ6zkRH6DAzaeXJqA,27.6981072,85.2984898,New Road,bakery,bakery
22,0,0,9,2,2,0,13,2,4,25,7,6,4,4.675000000000001,52.75,46.597725274378135,ChIJ6zvbxfwZ6zkRZWQ7Tta-K9Q,27.6913141,85.2985787,New Road,cake_shop,bakery
32,0,0,36,1,11,9,38,6,15,83,26,73,21,4.328571428571429,201.66666666666666,43.021336763884946,ChIJ35G1q1gZ6zkR5FgU2SiWpNQ,27.7078807,85.306105,New Road,cake_shop,bakery
65,1,1,42,8,21,17,52,10,22,111,27,86,41,4.425,305.075,220.49519028408557,ChIJqX3UTasZ6zkRd_P_6K-OpSs,27.7080599,85.3098662,New Road,bakery,bakery
4,0,0,4,3,2,1,24,4,6,48,12,25,3,4.233333333333333,232.66666666666666,259.612704597316,ChIJAQMT1xgZ6zkRsk1nhxmG1RY,27.6909934,85.30544259999999,New Road,bakery,bakery
88,2,2,41,3,21,12,71,20,20,93,16,84,62,4.1661016949152545,169.47457627118644,29.333097706258503,ChIJPUQITgAZ6zkRMiEUHiQyBJ8,27.7035549,85.31032739999999,New Road,bakery,bakery
4,0,0,1,1,1,0,2,0,0,0,0,0,3,4.8,19.666666666666668,474.7783379718722,ChIJh92_hqIZ6zkRcSEQIYQOCa8,27.6870644,85.29796499999999,New Road,cake_shop,bakery
40,1,0,36,11,9,2,46,3,12,75,26,38,11,4.430000000000001,60.1,8.58268849084258,ChIJEdqDk1kY6zkRHG_noTwtr58,27.700021,85.3018055,New Road,bakery,bakery
43,7,1,34,16,8,4,47,9,38,65,29,25,33,4.6,236.57575757575756,122.40768738467838,ChIJq766BXsZ6zkRuiyENuqEj4k,27.7196722,85.3092114,New Road,bakery,bakery
47,1,1,26,12,7,0,43,1,13,50,23,16,7,4.614285714285714,77.57142857142857,178.80578036957627,ChIJAWj6fIEZ6zkRxnywESDNvwg,27.6997207,85.2985139,New Road,bakery,bakery
47,0,1,35,1,14,11,44,12,23,90,21,85,48,4.231111111111111,199.57777777777778,14.820499875316315,ChIJCzzPMFYY6zkRP9cy8lkkra0,27.703868,85.30628589999999,New Road,bakery,bakery
54,6,2,33,19,9,19,69,17,72,101,31,40,105,4.576923076923077,311.83653846153845,35.22191690089397,ChIJ49fARxEZ6zkR7R6piuG4OLY,27.7152982,85.3093133,New Road,bakery,bakery
42,1,0,36,11,9,2,48,3,12,74,26,38,11,4.430000000000001,60.1,8.58268849084258,ChIJE529k1kY6zkRo5aQsjiho-g,27.6999585,85.3017541,New Road,bakery,bakery
0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.65,204.5,157.74640403085849,ChIJufuvGNAZ6zkR0QKi0Tj-FjA,27.7135763,85.2888716,New Road,bakery,bakery
47,0,1,33,1,14,11,46,11,22,90,21,79,48,4.237777777777778,199.57777777777778,3.507691082338321,ChIJg9zqViMZ6zkRweCDKJcTUM8,27.7038993,85.3061398,New Road,bakery,bakery
32,0,0,38,4,11,5,41,7,20,91,28,70,21,4.542857142857144,238.14285714285714,99.78862950955904,ChIJIzfiKTMZ6zkRvrpVsAY7d7U,27.7087332,85.3064311,New Road,bakery,bakery
43,0,0,33,1,10,10,45,11,23,73,24,81,47,4.2377777777777785,175.35555555555555,106.51502401583245,ChIJUzItGgAZ6zkRQ5kDcA7Iw4o,27.7022853,85.3054679,New Road,bakery,bakery
51,8,2,28,40,19,3,61,11,16,109,32,19,25,4.336,205.68,107.9223989843997,ChIJud91mQAZ6zkR4uu7r027z64,27.705858,85.3172369,New Road,bakery,bakery
22,0,0,9,1,2,0,13,2,4,25,7,6,4,4.775,60.75,46.597725274378135,ChIJR7r7Q-IZ6zkRUTOTZzUvQkg,27.6914158,85.29903709999999,New Road,bakery,bakery
17,1,1,8,5,2,0,12,0,4,20,10,3,2,4.25,249.5,280.2845184516856,ChIJ_WK4kxUZ6zkRxuqkT5HgKco,27.6970722,85.2928345,New Road,bakery,bakery
12,3,0,33,15,8,2,75,1,19,58,17,15,18,4.338888888888889,116.77777777777777,16.650924314793436,ChIJ37w_FQAZ6zkRpQr6vtW2XkU,27.6871035,85.3141129,New Road,bakery,bakery
12,0,0,18,3,7,1,22,5,22,71,25,26,3,4.833333333333333,9.333333333333334,190.42167766525688,ChIJx-cVRgAZ6zkRKmY4weRs74A,27.7095472,85.3009441,New Road,bakery,bakery
43,0,1,35,1,13,11,44,10,22,81,21,82,47,4.2272727272727275,179.97727272727272,68.04983424766382,ChIJlZo6ylcY6zkRKYH2jb1ST0Y,27.7035581,85.3055371,New Road,bakery,bakery
14,2,0,35,10,9,2,53,1,17,56,11,18,12,4.158333333333333,133.83333333333334,209.43375756337966,ChIJW4PT6gIZ6zkRSiHerBIK7sE,27.6888655,85.31281609999999,New Road,bakery,bakery
16,3,0,49,12,13,7,82,1,19,81,16,14,19,4.326315789473685,106.57894736842105,63.4173381166245,ChIJLbrck7QZ6zkR_m3rjaRm6hI,27.6865509,85.3154349,New Road,bakery,bakery
94,0,1,50,2,24,14,70,16,16,132,19,104,56,4.238888888888888,180.40740740740742,70.07039607003823,ChIJY5ZUUP8Y6zkRFtww2K2KiPc,27.7055103,85.3089358,New Road,bakery,bakery
10,3,1,12,10,6,3,50,2,16,45,6,10,18,4.316666666666666,217.11111111111111,73.1800986927733,ChIJe3dsNAkZ6zkR0D6eEhkrEBI,27.7189916,85.3177753,New Road,bakery,bakery
39,0,0,29,2,11,10,34,6,19,75,23,81,46,4.20888888888889,182.11111111111111,106.51502401583245,ChIJlzVNmFcY6zkR5Opt5MD6uRw,27.7025808,85.3044402,New Road,bakery,bakery
77,0,2,39,3,11,11,63,16,17,65,23,87,59,4.254545454545455,173.4909090909091,12.113390071432912,ChIJPT-8M-oZ6zkRPtb8NslfnPM,27.7027218,85.3077122,New Road,bakery,bakery
2,0,0,2,1,1,0,1,0,2,12,1,1,1,4.2,544.0,475.5802623464297,ChIJgcajSrAZ6zkR7kWa4PUX9Ac,27.7135174,85.29369369999999,New Road,bakery,bakery
