bank_count_500m,bus_stop_count_500m,cinema_count_500m,clinic_count_500m,college_count_500m,hospital_count_500m,museum_count_500m,office_count_500m,parking_space_count_500m,recreation_count_500m,retail_count_500m,school_count_500m,temple_count_500m,competitor_count_500m,avg_restaurant_rating_500m,avg_review_ratings_500m,nearest_restaurant_m,place_id,latitude,longitude,search_area,primary_type,searched_as,label
45,5,2,54,46,12,2,60,11,19,63,35,8,36,4.308333333333334,192.05555555555557,54.33733558071904,ChIJE5VkUhIZ6zkRXsCI3-SsG8o,27.6888877,85.3315252,Baneshwor,restaurant,restaurant,1
20,3,0,14,17,4,1,49,11,11,60,8,7,14,4.364285714285714,51.0,136.44488496329168,ChIJcReqS_wZ6zkR2Js-C_kGTKY,27.6927958,85.3266562,Baneshwor,restaurant,restaurant,1
7,0,0,3,7,7,0,21,1,4,20,8,8,4,4.375,221.25,287.45676120550854,ChIJbYs7G20Z6zkRL46PudG6JEY,27.7064769,85.34394999999999,Baneshwor,family_restaurant,restaurant,1
24,0,0,41,23,9,1,67,4,16,58,39,13,27,4.255555555555556,103.96296296296296,43.93259692456954,ChIJGyW_yJkZ6zkRs-YFF_81lnc,27.6980748,85.3381443,Baneshwor,restaurant,restaurant,1
55,6,3,65,49,14,1,70,10,16,65,27,9,46,4.295652173913043,184.80434782608697,47.80877413864404,ChIJa90t_pUZ6zkRJFw2_YrJNQ0,27.6882816,85.33445449999999,Baneshwor,korean_restaurant,restaurant,1
38,1,1,39,29,11,1,72,3,20,78,39,9,32,4.303125,141.0,6.535581154544098,ChIJJ1tlf5cZ6zkRjxlM37tu2rk,27.6940315,85.3371116,Baneshwor,restaurant,restaurant,1
6,1,0,17,6,6,0,63,5,29,76,20,21,12,4.300000000000001,81.16666666666667,165.79846293770512,ChIJP_9K8NEZ6zkRKj3W_5jAo0M,27.6800704,85.3371945,Baneshwor,asian_restaurant,restaurant,1
27,4,0,46,30,18,1,68,4,20,124,23,11,27,4.381481481481481,185.88888888888889,29.314647062012945,ChIJixQtaUwZ6zkR-BqhRxf1xFM,27.6869306,85.3424996,Baneshwor,restaurant,restaurant,1
8,0,0,24,16,8,1,79,3,23,70,17,8,7,4.371428571428572,48.285714285714285,12.984653889830769,ChIJq5FbP40Z6zkRpEiV5GpUpL8,27.6868447,85.3256208,Baneshwor,restaurant,restaurant,1
41,5,2,47,40,15,1,75,10,14,75,26,12,38,4.2552631578947375,202.97368421052636,33.91870879559938,ChIJxz8dQOcZ6zkRQxLLUGobKUw,27.6854259,85.3349757,Baneshwor,restaurant,restaurant,1
58,6,3,57,50,11,0,72,8,15,67,33,5,48,4.191666666666666,209.625,100.4785571941864,ChIJFQGfV5sZ6zkRf8rRCgxhi-c,27.6906284,85.3352482,Baneshwor,restaurant,restaurant,1
27,4,1,28,37,13,0,65,8,21,73,21,14,29,4.272413793103448,195.17241379310343,210.1336722476128,ChIJ84LtBAAZ6zkRbnVknpuSqYM,27.6846901,85.337786,Baneshwor,restaurant,restaurant,1
24,1,0,38,18,8,1,55,6,21,53,31,14,20,4.345,109.0,48.869742153562704,ChIJmUHonR8Z6zkRx3HbHlleX7g,27.6995768,85.33652169999999,Baneshwor,restaurant,restaurant,1
21,4,1,15,14,4,1,64,12,13,50,15,8,16,4.4,26.75,12.829120883259051,ChIJIcwzDAAZ6zkR4qMn_fMN16Q,27.695612,85.32829869999999,Baneshwor,asian_restaurant,restaurant,1
3,2,0,28,5,13,1,43,4,14,39,17,14,8,4.485714285714286,73.0,18.415831735983883,ChIJGx1e6owZ6zkR8FuYpBS2aOA,27.6980786,85.3491212,Baneshwor,korean_restaurant,restaurant,1
0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.1,632.0,341.20794058377186,ChIJ69vuJ74Z6zkRiTZeLqrumw8,27.7341736,85.33665549999999,Baneshwor,restaurant,restaurant,1
22,0,0,37,24,6,0,52,6,14,47,26,18,10,4.23,76.2,41.71435876336747,ChIJnVTxHmAZ6zkR-J6rSHk_OyM,27.7002692,85.34359180000001,Baneshwor,restaurant,restaurant,1
56,7,3,58,49,14,0,67,10,16,54,23,9,47,4.23404255319149,205.51063829787236,20.519931978361463,ChIJNRn59m8Z6zkRdLZdLLpVIlA,27.6894581,85.3355299,Baneshwor,restaurant,restaurant,1
41,4,2,45,41,14,1,77,9,15,87,27,11,37,4.237837837837837,204.1891891891892,37.45120459999406,ChIJtVigIL0Z6zkRLhtLmzxH7Hk,27.6852355,85.334662,Baneshwor,restaurant,restaurant,1
11,1,0,27,17,7,1,72,3,23,69,21,9,8,4.4375,80.375,126.96957956014822,ChIJH1SPMVEZ6zkR7SKZCLi10_4,27.6879494,85.32596269999999,Baneshwor,restaurant,restaurant,1
40,1,1,45,33,12,1,70,4,19,84,37,11,34,4.252941176470589,146.52941176470588,78.42580091932302,ChIJ3zGpcqAZ6zkRfXtUbQlekVk,27.6935367,85.3364476,Baneshwor,cafe,cafe,1
21,2,0,5,34,8,1,60,6,15,87,32,7,11,4.370000000000001,43.3,92.993988133659,ChIJofB7NS8Z6zkRJzYYsmaQBIc,27.7009425,85.3219325,Baneshwor,coffee_shop,cafe,1
20,0,0,32,30,7,1,66,3,16,63,45,11,32,4.2875,84.03125,71.96278731241142,ChIJIclnu_0Z6zkRKyqK4PUal9Y,27.6969025,85.3380937,Baneshwor,cafe,cafe,1
47,3,2,57,33,7,0,56,13,15,60,32,9,41,4.346341463414634,210.3658536585366,124.30071718087036,ChIJEafrAgAZ6zkRihhNtq0fz-8,27.6918694,85.3325917,Baneshwor,restaurant,cafe,1
57,6,3,64,49,13,1,66,10,15,67,28,7,48,4.247916666666667,174.29166666666666,35.63580095412116,ChIJNyFJApYZ6zkR9kxSVuP23DQ,27.6887822,85.33446970000001,Baneshwor,cafe,cafe,1
10,1,0,32,14,7,0,62,3,9,73,31,17,8,4.3375,45.125,177.7932885305962,ChIJX0WHr8wZ6zkRMN4234uf49E,27.6966809,85.3440535,Baneshwor,restaurant,cafe,1
30,0,1,35,28,9,1,72,4,19,73,39,9,32,4.293749999999999,129.5625,6.539290176041434,ChIJMXZlpioZ6zkRh1zg5gv0Rj4,27.694798700000003,85.3374121,Baneshwor,cafe,cafe,1
12,1,0,30,16,11,0,55,2,12,103,36,16,14,4.466666666666667,55.66666666666666,191.0161862545182,ChIJLU0kIwAZ6zkRqZKrTH2wZfY,27.6933889,85.34457019999999,Baneshwor,cafe,cafe,1
54,6,3,57,47,14,1,73,10,13,71,26,10,45,4.282222222222222,219.64444444444445,17.983819957746945,ChIJB0VsQ7EZ6zkR5aGw77DLAE4,27.6880675,85.3353082,Baneshwor,cafe,cafe,1
5,0,0,21,8,4,0,63,4,26,83,16,17,14,4.314285714285715,98.28571428571428,34.43594874487929,ChIJZ61001MZ6zkRWgRozGP-P1U,27.6810841,85.3415199,Baneshwor,cafeteria,cafe,1
9,0,0,5,13,4,0,16,3,18,28,8,11,4,4.35,50.0,72.23343732885046,ChIJaeS5UQAZ6zkRw2nI0x_Uo_I,27.7097143,85.33273570000001,Baneshwor,coffee_shop,cafe,1
58,7,3,59,47,15,0,69,10,16,55,25,8,47,4.242553191489361,192.53191489361703,20.519931978361463,ChIJNanyFJYZ6zkR5ppk9lwCM5g,27.6896422,85.3355524,Baneshwor,cafe,cafe,1
29,3,1,41,26,10,0,68,1,14,100,31,13,31,4.2733333333333325,228.9,92.2181154579304,ChIJ49I7hkkZ6zkRTIqKfjLUhkw,27.691605,85.3404395,Baneshwor,coffee_shop,cafe,1
58,6,3,62,51,10,0,63,10,15,52,31,6,49,4.251020408163265,198.9183673469388,100.32213043910768,ChIJZw_ydsoZ6zkRtv-xQ2p4o9E,27.6899375,85.3345625,Baneshwor,cafe,cafe,1
25,1,0,40,25,11,1,79,3,21,104,29,12,29,4.358620689655172,91.55172413793105,37.73949070350577,ChIJW5HHZ9AZ6zkR7wkycFFGihg,27.6861919,85.34616749999999,Baneshwor,restaurant,cafe,1
2,0,0,0,0,0,0,2,0,1,2,3,1,2,4.7,64.0,214.82713771958424,ChIJFxgXYgIZ6zkRBb2qR1iHwMA,27.728179800000003,85.3248121,Baneshwor,coffee_shop,cafe,1
39,4,0,15,53,9,1,73,8,12,77,50,15,18,4.376470588235295,57.11764705882353,96.36600751106936,ChIJOQNaJ7gZ6zkR4rlyKQ_H06I,27.7033013,85.3233925,Baneshwor,cafe,cafe,1
3,2,0,5,1,2,0,9,1,3,21,5,1,19,4.610526315789474,51.73684210526316,36.96285493125461,ChIJKTz-fgAb6zkRbznc_j12GTM,27.6895644,85.3652216,Baneshwor,coffee_shop,cafe,1
18,2,0,22,10,6,1,34,5,18,47,17,12,6,4.65,46.0,163.80394505318725,ChIJ62WTAAAZ6zkRFJ91CkCu-bo,27.7071433,85.33315669999999,Baneshwor,cafe,cafe,1
8,0,0,22,13,9,1,80,3,22,68,16,9,6,4.266666666666667,114.66666666666669,16.79613835481497,ChIJGebFEQAZ6zkRPskjC00KQqQ,27.6868742,85.3253409,Baneshwor,fast_food_restaurant,cafe,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2,544.0,157.74640403085849,ChIJ41bsJQAZ6zkRAd5BMFtLDvc,27.7142514,85.2874633,Baneshwor,coffee_shop,cafe,1
0,0,0,0,0,0,0,1,0,0,0,0,0,1,4.2,162.0,387.66003897008034,ChIJS0t1dIAZ6zkRy8TFUVDQ_MM,27.7181981,85.33641159999999,Baneshwor,cafe,cafe,1
16,1,0,38,11,10,2,24,11,18,65,16,2,102,4.443564356435644,161.55445544554456,1.141531188791164,ChIJZVS-1hgb6zkRRm4q19XoBzU,27.7197654,85.3614903,Baneshwor,coffee_shop,cafe,1
