place_id,restaurant_name,latitude,longitude,search_area,building_count_500m,Demand,Accessibility,Competition,Population
ChIJoQJ8TAAb6zkRAiXnCCvUubw,Swastik Newari Khaja Ghar (Authentic Newari Restaurant),27.6722911,85.426915,Bhaktapur durbar square,4889,0.3399,0.4367,0.3635,0.8547
ChIJa05kQAAb6zkRr-dGn28pHmA,Food Bowl Restro,27.6771492,85.436841,Bhaktapur durbar square,2912,0.2138,0.5686,0.4555,0.5091
ChIJCbHdVwAb6zkR5FrBiRTCbUI,Restaurant Tusa,27.6736992,85.4334327,Bhaktapur durbar square,4995,0.3,0.5698,0.4204,0.8733
ChIJ0wb9LOsb6zkRW1dOYcQ_C5s,Jhegu newa kitchen restro,27.6698837,85.4293982,Bhaktapur durbar square,4219,0.275,0.3283,0.3868,0.7376
ChIJ-1gXvewb6zkRQSeG9pq3fK8,The Golden Eyes Restaurant & Cafe,27.6715495,85.429344,Bhaktapur durbar square,5077,0.3268,0.3698,0.3727,0.8876
ChIJA4q_iKob6zkRvMDhbkR3_oo,New Watshala Garden Restaurant,27.6718001,85.4285972,Bhaktapur durbar square,5216,0.3278,0.3704,0.3646,0.9119
ChIJ-Q8BSgAb6zkRJr4seRIQYGU,Samsara Thakali Restaurant,27.672294,85.433751,Bhaktapur durbar square,4796,0.2866,0.5089,0.4217,0.8385
ChIJ__8_CK8a6zkRYpBaL7b1-_g,The Garuda Bar,27.670796300000003,85.42885179999999,Bhaktapur durbar square,4821,0.318,0.3545,0.3722,0.8428
ChIJ-Y6UMQAb6zkRGyGfshCNERc,Creative Burger & Pasta House,27.672397,85.4051819,Bhaktapur durbar square,0,0.0,0.22,0.5065,0.0
ChIJ_VReHQAb6zkR08hYWq2G4GM,Durbar Restaurant,27.6724663,85.427415,Bhaktapur durbar square,5106,0.3252,0.4072,0.3639,0.8927
ChIJX2X55PAb6zkRxU85igeUexI,Taboche Restaurant and Coffee Shop,27.6712981,85.4211503,Bhaktapur durbar square,2227,0.1529,0.3721,0.4643,0.3893
ChIJx9KIxvob6zkRWMruWmNw704,Mi:loco Cafe' n Restaurant,27.6711367,85.4216744,Bhaktapur durbar square,2544,0.1608,0.3776,0.467,0.4448
ChIJf6d74u4b6zkRDF_IhSrK-J0,KV Lounge & Jagati Chhoila Pasal,27.6765449,85.43771199999999,Bhaktapur durbar square,3163,0.2341,0.5548,0.4608,0.553
ChIJk73od60a6zkRwmlB5OFE-lA,Peaceful Korean Restaurant,27.6733352,85.4350754,Bhaktapur durbar square,4730,0.282,0.5671,0.4529,0.8269
ChIJR3DduygF6zkRN0DrSFfcnkY,Time's Cafe And Restro,27.6774529,85.43803620000001,Bhaktapur durbar square,2492,0.185,0.5114,0.4792,0.4357
ChIJSdUdyfcb6zkRnUq5A9OdlXg,Cafe JAC Bhaktapur,27.6652664,85.4226844,Bhaktapur durbar square,1475,0.2329,0.4179,0.4686,0.2579
