area,u,v,key,osmid,name,highway,oneway,maxspeed,clipped_length_m,geometry_wkt
Baneshwor,5645771107,4330486903,0,170533898,मदन भण्डारी पथ,trunk,True,40,44.548605915731294,"LINESTRING (85.346968 27.685579, 85.346699 27.685712, 85.346568 27.685766)"
Baneshwor,1399427366,1399427364,0,126172634,,residential,False,,40.01996044070019,"LINESTRING (85.339644 27.700609, 85.339749 27.700609, 85.339827 27.70062, 85.339923 27.700628, 85.340047 27.700642)"
Baneshwor,1399427366,3774439018,0,"[751465450, 751465451, 232400407]",देवकोटा सडक,secondary,False,,194.83523458681867,"LINESTRING (85.339644 27.700609, 85.339636 27.700597, 85.339623 27.700585, 85.339586 27.700559, 85.339563 27.700546, 85.339512 27.700521, 85.339459 27.700497, 85.339384 27.700468, 85.339268 27.700429, 85.33923 27.700415, 85.33919 27.700397, 85.339146 27.700375, 85.339098 27.700347, 85.339048 27.700314, 85.338995 27.700274, 85.338939 27.700226, 85.338881 27.700171, 85.338787 27.700075, 85.33867 27.699963, 85.338613 27.699879, 85.338547 27.699752, 85.33838 27.699358)"
Baneshwor,360695716,1382903026,0,232400406,देवकोटा सडक,secondary,False,,22.967249877724253,"LINESTRING (85.337552 27.69615, 85.337562 27.695943)"
Baneshwor,360695716,1382903026,1,511205889,,unclassified,False,,154.7878511327732,"LINESTRING (85.337552 27.69615, 85.337807 27.696074, 85.338214 27.695959, 85.338264 27.695948, 85.338263 27.695942, 85.338228 27.695847, 85.338202 27.695817, 85.338154 27.695811, 85.337936 27.695855, 85.337682 27.695906, 85.337562 27.695943)"
Baneshwor,360695716,672589942,0,232400406,देवकोटा सडक,secondary,False,,93.74817491278708,"LINESTRING (85.337552 27.69615, 85.337721 27.696894, 85.337732 27.69698)"
Baneshwor,1382903026,1382903027,0,124188140,Mahadevasthan Marg,residential,False,,17.965380401712448,"LINESTRING (85.337562 27.695943, 85.337402 27.696021)"
Baneshwor,1382903026,1281221704,0,232400406,देवकोटा सडक,secondary,False,,42.53877797948265,"LINESTRING (85.337562 27.695943, 85.337584 27.695559)"
Baneshwor,672589942,2139807311,0,232400406,देवकोटा सडक,secondary,False,,94.8224517656589,"LINESTRING (85.337732 27.69698, 85.337959 27.697812)"
Baneshwor,672589942,3547375976,0,53145210,Madhya Baneshwar Marga,residential,False,,92.7244826618676,"LINESTRING (85.337732 27.69698, 85.337796 27.696966, 85.338044 27.696854, 85.338631 27.696758)"
Baneshwor,672589942,2244693649,0,58751716,Puja Pratisthan Marga,residential,False,,125.95689240900998,"LINESTRING (85.337732 27.69698, 85.337594 27.697003, 85.337434 27.697056, 85.337362 27.697114, 85.337183 27.697218, 85.33698 27.69727, 85.336558 27.697391)"
Baneshwor,668708812,2338508487,0,28559206,टंका प्रसाद घुमती सडक,tertiary,False,,57.764472479650735,"LINESTRING (85.326233 27.693635, 85.326298 27.693617, 85.326789 27.693469)"
Baneshwor,668708812,7111414483,0,52666670,Akhtiyaar Marg,residential,False,,216.14835096162147,"LINESTRING (85.326233 27.693635, 85.325848 27.692078, 85.32582 27.691974, 85.325764 27.691863, 85.325741 27.691811, 85.325712 27.691744)"
Baneshwor,2338508487,4912512336,0,28559206,टंका प्रसाद घुमती सडक,tertiary,False,,66.17112976275173,"LINESTRING (85.326789 27.693469, 85.327371 27.693305, 85.327429 27.693292)"
Baneshwor,2338508487,2148862474,0,204906463,,residential,False,,77.98341007870548,"LINESTRING (85.326789 27.693469, 85.326699 27.693236, 85.326664 27.693149, 85.326656 27.69307, 85.326602 27.692839, 85.326609 27.69279)"
Baneshwor,7111414483,7111414484,0,761154063,,tertiary,True,,41.66533130607886,"LINESTRING (85.325712 27.691744, 85.326086 27.691571)"
Baneshwor,2139807311,2139807342,0,203969035,,residential,False,,69.69902035874745,"LINESTRING (85.337959 27.697812, 85.337277 27.697979)"
Baneshwor,2139807311,1347468288,0,232400406,देवकोटा सडक,secondary,False,,39.93737167168543,"LINESTRING (85.337959 27.697812, 85.338041 27.698165)"
Baneshwor,3547375976,2139807154,0,53145210,Madhya Baneshwar Marga,residential,False,,24.57490966590273,"LINESTRING (85.338631 27.696758, 85.338879 27.696739)"
Baneshwor,3547375976,3547375979,0,348684764,,unclassified,False,,67.00289504078799,"LINESTRING (85.338631 27.696758, 85.338553 27.696565, 85.338495 27.696372, 85.338422 27.696183)"
Baneshwor,2244693649,1393448756,0,58751716,Puja Pratisthan Marga,residential,False,,64.23710933045399,"LINESTRING (85.336558 27.697391, 85.336383 27.697482, 85.336143 27.697585, 85.336081 27.697611, 85.335972 27.69764)"
Baneshwor,2244693649,2244693669,0,215047300,,residential,False,,74.07491839819612,"LINESTRING (85.336558 27.697391, 85.33661 27.697533, 85.336628 27.697619, 85.336665 27.697735, 85.336688 27.69783, 85.336724 27.697912, 85.336768 27.698032)"
Baneshwor,672589973,1317087958,0,120435376,Surya Bikram Gyawali Marga,residential,False,,3.9323954948529884,"LINESTRING (85.341133 27.696159, 85.341142 27.696193)"
Baneshwor,672589973,1382903029,0,53145210,Madhya Baneshwar Marga,residential,False,,84.7850640941514,"LINESTRING (85.341133 27.696159, 85.340539 27.696199, 85.340276 27.696226)"
Baneshwor,672589973,1950327064,0,53145211,Surya Bikram Marga,residential,False,,84.97908703311803,"LINESTRING (85.341133 27.696159, 85.341089 27.696006, 85.341069 27.695912, 85.341043 27.695786, 85.341031 27.695674, 85.341014 27.695623, 85.340969 27.69555, 85.340876 27.695441)"
Baneshwor,1317087958,1950345222,0,116923159,Bhupi Sherchan Marg,residential,False,,55.80571985785963,"LINESTRING (85.341142 27.696193, 85.341258 27.696153, 85.3414 27.69612, 85.341555 27.696089, 85.34169 27.696071)"
Baneshwor,1317087958,2030361096,0,120435376,Surya Bikram Gyawali Marga,residential,False,,121.3788871327094,"LINESTRING (85.341142 27.696193, 85.341264 27.696442, 85.341316 27.696535, 85.341408 27.696618, 85.341467 27.696724, 85.341547 27.69699, 85.341589 27.697197)"
Baneshwor,1382903029,1950327072,0,53145210,Madhya Baneshwar Marga,residential,False,,2.0317974716053664,"LINESTRING (85.340276 27.696226, 85.340256 27.696226)"
Baneshwor,1382903029,1382903061,0,124188165,Amar Dip Marg,residential,False,,101.3938222547186,"LINESTRING (85.340276 27.696226, 85.340306 27.696404, 85.340298 27.696482, 85.340249 27.696596, 85.340168 27.696705, 85.340145 27.696804, 85.340184 27.697105)"
Baneshwor,1950327064,1317087874,0,53145211,Surya Bikram Marga,residential,False,,39.54729109226696,"LINESTRING (85.340876 27.695441, 85.340854 27.695413, 85.3408 27.695372, 85.340746 27.695344, 85.340709 27.695303, 85.340679 27.695245, 85.340656 27.69516)"
Baneshwor,1950327064,1950327072,0,184538631,Sada Shiva Galli,residential,False,,127.29521381040759,"LINESTRING (85.340876 27.695441, 85.340793 27.695444, 85.340565 27.695457, 85.34055 27.695455, 85.340511 27.69545, 85.340506 27.695454, 85.340501 27.69546, 85.340478 27.695664, 85.340442 27.695696, 85.34042 27.695787, 85.340366 27.695933, 85.34031 27.696033, 85.340273 27.6961, 85.340256 27.696226)"
Baneshwor,672590014,728152062,0,58751513,Okharbot Marg,residential,False,,99.33703621658015,"LINESTRING (85.336217 27.692508, 85.33613 27.692494, 85.335986 27.692478, 85.335819 27.692437, 85.33557 27.692348, 85.335314 27.69216)"
Baneshwor,672590014,1317084982,0,172137067,Shree Panchakumari Marg,residential,False,,182.1611795878317,"LINESTRING (85.336217 27.692508, 85.336301 27.692512, 85.336487 27.692608, 85.336682 27.692706, 85.336796 27.692742, 85.336956 27.692839, 85.337126 27.6929, 85.337225 27.692952, 85.337288 27.69297, 85.337447 27.692936, 85.337502 27.692964, 85.337587 27.692974, 85.337691 27.692954, 85.337801 27.692935, 85.337913 27.692919)"
Baneshwor,672590014,3495404576,0,172138852,देवकोटा सडक,secondary,False,,114.80156494241054,"LINESTRING (85.336217 27.692508, 85.336245 27.692576, 85.33651 27.692952, 85.33683 27.693386)"
Baneshwor,672590014,1882453048,0,232348157,देवकोटा सडक,secondary,False,,181.7099425945552,"LINESTRING (85.336217 27.692508, 85.3362 27.692434, 85.336193 27.692292, 85.336185 27.692026, 85.336196 27.691771, 85.336192 27.691515, 85.336195 27.691457, 85.336183 27.691398, 85.336158 27.691309, 85.336104 27.691152, 85.336045 27.690886)"
Baneshwor,728152062,1382902993,0,124188181,Nava Srijana Marg,residential,False,,37.30449656514431,"LINESTRING (85.335314 27.69216, 85.334995 27.692339)"
Baneshwor,728152062,1382902980,0,58751513,Okharbot Marg,residential,False,,98.93824363493358,"LINESTRING (85.335314 27.69216, 85.335205 27.692064, 85.335036 27.691909, 85.334574 27.691559)"
Baneshwor,1317084982,672590063,0,172137067,Shree Panchakumari Marg,residential,False,,36.209704779716915,"LINESTRING (85.337913 27.692919, 85.338046 27.692877, 85.33814 27.692856, 85.33827 27.692852)"
