area,osmid,latitude,longitude
Baneshwor,2137067818,27.6978592,85.3352487
Baneshwor,1382903053,27.6968469,85.33503190000002
Baneshwor,10700878920,27.697652199999997,85.3359345
Baneshwor,728152154,27.697943099999996,85.3347093
Baneshwor,1393448763,27.698035899999997,85.3344873
Baneshwor,12098738941,27.697551400000002,85.3345227
Baneshwor,728152157,27.6984824,85.33338630000002
Baneshwor,3487279464,27.6980879,85.3334998
Baneshwor,728152163,27.699494199999997,85.33531880000001
Baneshwor,2451535405,27.699063299999995,85.3317603
Baneshwor,1382824410,27.699618899999997,85.33557640000001
Baneshwor,728152166,27.699640799999997,85.3366143
Baneshwor,1393448791,27.6989931,85.3365629
Baneshwor,13773028735,27.699465399999998,85.3376676
Baneshwor,1347468306,27.699636199999997,85.3362583
Baneshwor,728152168,27.6993152,85.3383698
Baneshwor,3774439018,27.699357999999997,85.3383802
Baneshwor,1317087941,27.699194299999995,85.3383251
Baneshwor,1273357515,27.692771999999998,85.3282346
Baneshwor,1950483614,27.692878499999996,85.3280908
Baneshwor,4315547715,27.6926457,85.3285019
Baneshwor,6054284835,27.69204489999999,85.3279368
Baneshwor,1273374990,27.6883346,85.3247532
Baneshwor,4315496276,27.688398199999998,85.3242403
Baneshwor,1273375168,27.688805199999997,85.3250909
Baneshwor,1731645811,27.687735,85.3247616
Baneshwor,1273375041,27.690369499999992,85.3259379
Baneshwor,4911978323,27.691254000000004,85.3262343
Baneshwor,4047542080,27.690324799999996,85.3266227
Baneshwor,1832500437,27.69050319999999,85.3253188
Baneshwor,1273375047,27.6905461,85.3251254
Baneshwor,4911978373,27.691654399999994,85.3253431
Baneshwor,1273375093,27.690855,85.32376390000002
Baneshwor,4911978379,27.6923733,85.3238273
Baneshwor,1805087606,27.690583400000005,85.3236339
Baneshwor,1273375148,27.688960599999998,85.3242112
Baneshwor,1832500381,27.6892232,85.3241059
Baneshwor,1941204629,27.688243599999996,85.3257546
Baneshwor,1273515715,27.688733400000004,85.3513712
Baneshwor,4789784966,27.68894089999999,85.3501863
Baneshwor,1274031186,27.7028689,85.34612670000001
Baneshwor,1274031404,27.703242599999996,85.3457671
Baneshwor,1274031386,27.702519999999993,85.3466382
Baneshwor,1274031326,27.703825300000002,85.3459788
Baneshwor,2157327654,27.701338699999997,85.3458758
Baneshwor,1281196429,27.705554600000006,85.3449718
Baneshwor,1350400337,27.702117500000004,85.3494602
Baneshwor,1274031324,27.7045438,85.3464219
Baneshwor,2156954813,27.703726899999996,85.3465423
Baneshwor,1274031362,27.7012332,85.3482338
Baneshwor,6054463912,27.7016725,85.3476661
Baneshwor,1274031466,27.700580500000004,85.3483451
Baneshwor,1274031458,27.7021864,85.3469725
Baneshwor,1317085099,27.699282599999993,85.3457732
Baneshwor,1317085219,27.6963331,85.3474493
Baneshwor,12520722849,27.699222799999994,85.3464563
Baneshwor,1274031400,27.701795600000004,85.3474364
